year,month,day,channel_id,channel_name,Cant_sess
2026,2,1,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,6
2026,2,10,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,181
2026,2,11,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,176
2026,2,12,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,292
2026,2,13,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,153
2026,2,14,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,9
2026,2,15,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,7
2026,2,16,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,9
2026,2,17,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,31
2026,2,18,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,110
2026,2,19,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,324
2026,2,2,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,233
2026,2,20,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,438
2026,2,21,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,44
2026,2,22,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,14
2026,2,23,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,168
2026,2,24,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,322
2026,2,25,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,559
2026,2,26,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,341
2026,2,27,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,300
2026,2,28,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,15
2026,2,3,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,240
2026,2,4,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,156
2026,2,5,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,258
2026,2,6,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,143
2026,2,7,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,9
2026,2,8,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,15
2026,2,9,PLBWX5XYGQ2B3GP7IN8Q-webchat-null-O1SX0HK3J4,BAX - App,178
