Active	Topic path	Topic	Topic keywords	ID	Name	Triggers	Keywords	Bot Says	Variables	Tags
true	Desarrollo humano [DH]/07. Inclusión social/02. DH07CUX02 SAP Inclusión Laboral	02. DH07CUX02 SAP Inclusión Laboral		PLBWX5XYGQ2B3GP7IN8Q-dvoqnkdxke@b.m-1691418390729	"DH07CUX02 QR CeDEL Playón Chacarita Inclusión Laboral"	"hola, boti estoy en el cedel de playón chacarita, con qué temas me pueden ayudar"	"(de|necessito|necesito|neceito|necesita|necesirto|necessitava|nececito),(chacarita,|flores|floresta),(con|alguna),(qué|necessito|necesito|neceito|neccesito|q necesitan|se necesita|que necesitan|que se necesita|necesitando|nacesita|necestio|necesite|necesit|necessitar|necesidades|neesito|necessita|necesita|nesecito|necessitando|q necesito|necesidad|nececito),(el|lo),(en),(cedel),(boti|robot|robos|rovot|robo),(playón),(pueden|necesitamos|necesaria|necessito|necesito|ncesarios|necesarios|se necesita|necesite|necesarias|necesario|neesito|necesita|necesitaria|necessitava|nesecito|necesitaría|necesitariamos|necesidad|nececito),(estoy|necesaria|necessito|necesitamos|necesito|neceito|necesarios|encesito|necesitando|necesite|necesitar|necesarias|necesario|necesidades|necesitaria|neceitaria|nesecito|necesitaría|necesidad|nececito|necesitariamos),(me|preciso),(temas|asuntos),(hola,|holu|holis|nola|hila|hija|holaa|jola|hola|bola|hpla|¡hola|holax|yola|holi|hola4|vola|uola|hla|holq|hols),(ayudar|necesitamos|necesaria|necessito|necesito|neceito|necesarios|se necesita|necesitando|necesite|necesitar|necesarias|necesario|necesidades|neesito|necesita|necesitaria|neceitaria|necessitava|nesecito|necesitaría|necesidad|necesitariamos|nececito)"	""	[]	[]
true	Desarrollo humano [DH]/07. Inclusión social/02. DH07CUX02 SAP Inclusión Laboral	02. DH07CUX02 SAP Inclusión Laboral		PLBWX5XYGQ2B3GP7IN8Q-n3x3d50bl4@b.m-1691418671498	"DH07CUX02 QR CeDEL Barrio 31 Inclusión Laboral"	"¡hola, boti estoy en el cedel del barrio 31, con qué temas me pueden ayudar"	"(barrio|dirreción|dirección|direcion|direcciones|direccin|direccion),(con|alguna),(qué|necessito|necesito|neceito|neccesito|q necesitan|se necesita|que necesitan|que se necesita|necesitando|nacesita|necestio|necesite|necesit|necessitar|necesidades|neesito|necessita|necesita|nesecito|necessitando|q necesito|necesidad|nececito),(¡hola,),(el|lo),(en),(del|el),(cedel),(boti|robot|robos|rovot|robo),(31,|10),(pueden|necesitamos|necesaria|necessito|necesito|ncesarios|necesarios|se necesita|necesite|necesarias|necesario|neesito|necesita|necesitaria|necessitava|nesecito|necesitaría|necesitariamos|necesidad|nececito),(estoy|necesaria|necessito|necesitamos|necesito|neceito|necesarios|encesito|necesitando|necesite|necesitar|necesarias|necesario|necesidades|necesitaria|neceitaria|nesecito|necesitaría|necesidad|nececito|necesitariamos),(me|preciso),(temas|asuntos),(ayudar|necesitamos|necesaria|necessito|necesito|neceito|necesarios|se necesita|necesitando|necesite|necesitar|necesarias|necesario|necesidades|neesito|necesita|necesitaria|neceitaria|necessitava|nesecito|necesitaría|necesidad|necesitariamos|nececito)"	""	[]	[]
true	Desarrollo humano [DH]/07. Inclusión social/02. DH07CUX02 SAP Inclusión Laboral	02. DH07CUX02 SAP Inclusión Laboral		PLBWX5XYGQ2B3GP7IN8Q-wk1v86nmt0@b.m-1691418609418	"DH07CUX02 QR CeDEL Rodrigo Bueno Inclusión Laboral"	"¡hola, boti estoy en el cedel del barrio rodrigo bueno, con qué temas me pueden ayudar"	"(rodrigo),(barrio|dirreción|dirección|direcion|direcciones|direccin|direccion),(bueno,),(con|alguna),(qué|necessito|necesito|neceito|neccesito|q necesitan|se necesita|que necesitan|que se necesita|necesitando|nacesita|necestio|necesite|necesit|necessitar|necesidades|neesito|necessita|necesita|nesecito|necessitando|q necesito|necesidad|nececito),(¡hola,),(el|lo),(en),(del|el),(cedel),(boti|robot|robos|rovot|robo),(pueden|necesitamos|necesaria|necessito|necesito|ncesarios|necesarios|se necesita|necesite|necesarias|necesario|neesito|necesita|necesitaria|necessitava|nesecito|necesitaría|necesitariamos|necesidad|nececito),(estoy|necesaria|necessito|necesitamos|necesito|neceito|necesarios|encesito|necesitando|necesite|necesitar|necesarias|necesario|necesidades|necesitaria|neceitaria|nesecito|necesitaría|necesidad|nececito|necesitariamos),(me|preciso),(temas|asuntos),(ayudar|necesitamos|necesaria|necessito|necesito|neceito|necesarios|se necesita|necesitando|necesite|necesitar|necesarias|necesario|necesidades|neesito|necesita|necesitaria|neceitaria|necessitava|nesecito|necesitaría|necesidad|necesitariamos|nececito)"	""	[]	[]
true	Desarrollo humano [DH]/07. Inclusión social/02. DH07CUX02 SAP Inclusión Laboral	02. DH07CUX02 SAP Inclusión Laboral		PLBWX5XYGQ2B3GP7IN8Q-t2lguxlawn@b.m-1691418020457	"DH07CUX02 QR CeDEL Barrio 21 Inclusión Laboral"	"¡hola, boti estoy en el cedel del barrio 2124, con qué temas me pueden ayudar"	"(barrio|dirreción|dirección|direcion|direcciones|direccin|direccion),(con|alguna),(qué|necessito|necesito|neceito|neccesito|q necesitan|se necesita|que necesitan|que se necesita|necesitando|nacesita|necestio|necesite|necesit|necessitar|necesidades|neesito|necessita|necesita|nesecito|necessitando|q necesito|necesidad|nececito),(¡hola,),(el|lo),(en),(del|el),(cedel),(boti|robot|robos|rovot|robo),(pueden|necesitamos|necesaria|necessito|necesito|ncesarios|necesarios|se necesita|necesite|necesarias|necesario|neesito|necesita|necesitaria|necessitava|nesecito|necesitaría|necesitariamos|necesidad|nececito),(estoy|necesaria|necessito|necesitamos|necesito|neceito|necesarios|encesito|necesitando|necesite|necesitar|necesarias|necesario|necesidades|necesitaria|neceitaria|nesecito|necesitaría|necesidad|nececito|necesitariamos),(me|preciso),(2124,),(temas|asuntos),(ayudar|necesitamos|necesaria|necessito|necesito|neceito|necesarios|se necesita|necesitando|necesite|necesitar|necesarias|necesario|necesidades|neesito|necesita|necesitaria|neceitaria|necessitava|nesecito|necesitaría|necesidad|necesitariamos|nececito)"	""	[]	[]
true	Desarrollo humano [DH]/07. Inclusión social/02. DH07CUX02 SAP Inclusión Laboral	02. DH07CUX02 SAP Inclusión Laboral		PLBWX5XYGQ2B3GP7IN8Q-nflt0kbzh4@b.m-1691418224316	"DH07CUX02 QR CeDEL Soldati Inclusión Laboral"	"¡hola, boti estoy en el cedel de soldati, con qué temas me pueden ayudar"	"(de|necessito|necesito|neceito|necesita|necesirto|necessitava|nececito),(con|alguna),(qué|necessito|necesito|neceito|neccesito|q necesitan|se necesita|que necesitan|que se necesita|necesitando|nacesita|necestio|necesite|necesit|necessitar|necesidades|neesito|necessita|necesita|nesecito|necessitando|q necesito|necesidad|nececito),(¡hola,),(el|lo),(en),(cedel),(boti|robot|robos|rovot|robo),(pueden|necesitamos|necesaria|necessito|necesito|ncesarios|necesarios|se necesita|necesite|necesarias|necesario|neesito|necesita|necesitaria|necessitava|nesecito|necesitaría|necesitariamos|necesidad|nececito),(estoy|necesaria|necessito|necesitamos|necesito|neceito|necesarios|encesito|necesitando|necesite|necesitar|necesarias|necesario|necesidades|necesitaria|neceitaria|nesecito|necesitaría|necesidad|nececito|necesitariamos),(me|preciso),(temas|asuntos),(ayudar|necesitamos|necesaria|necessito|necesito|neceito|necesarios|se necesita|necesitando|necesite|necesitar|necesarias|necesario|necesidades|neesito|necesita|necesitaria|neceitaria|necessitava|nesecito|necesitaría|necesidad|necesitariamos|nececito),(soldati,|flores|floresta)"	""	[]	[]
true	Desarrollo humano [DH]/07. Inclusión social/02. DH07CUX02 SAP Inclusión Laboral	02. DH07CUX02 SAP Inclusión Laboral		PLBWX5XYGQ2B3GP7IN8Q-nnlnj6ma8o@b.m-1691418857705	"DH07CUX02 QR CeDEL MDHyH Inclusión Laboral"	"¡hola, boti estoy en el ministerio de desarrollo humano y hábitat, con qué temas me pueden ayudar"	"(de|necessito|necesito|neceito|necesita|necesirto|necessitava|nececito),(con|alguna),(qué|necessito|necesito|neceito|neccesito|q necesitan|se necesita|que necesitan|que se necesita|necesitando|nacesita|necestio|necesite|necesit|necessitar|necesidades|neesito|necessita|necesita|nesecito|necessitando|q necesito|necesidad|nececito),(¡hola,),(el|lo),(hábitat,),(en),(boti|robot|robos|rovot|robo),(pueden|necesitamos|necesaria|necessito|necesito|ncesarios|necesarios|se necesita|necesite|necesarias|necesario|neesito|necesita|necesitaria|necessitava|nesecito|necesitaría|necesitariamos|necesidad|nececito),(estoy|necesaria|necessito|necesitamos|necesito|neceito|necesarios|encesito|necesitando|necesite|necesitar|necesarias|necesario|necesidades|necesitaria|neceitaria|nesecito|necesitaría|necesidad|nececito|necesitariamos),(me|preciso),(desarrollo|cargar|cargo),(humano|asesora|señora|asesor|asersor|hacesor|ascesor),(y|cómo hago para|que hago para|como hacer para|q hago para|cm hago para|hago para|como hago para),(temas|asuntos),(ayudar|necesitamos|necesaria|necessito|necesito|neceito|necesarios|se necesita|necesitando|necesite|necesitar|necesarias|necesario|necesidades|neesito|necesita|necesitaria|neceitaria|necessitava|nesecito|necesitaría|necesidad|necesitariamos|nececito),(ministerio|gobierno)"	""	[]	[]
true	Desarrollo humano [DH]/07. Inclusión social/02. DH07CUX02 SAP Inclusión Laboral	02. DH07CUX02 SAP Inclusión Laboral		PLBWX5XYGQ2B3GP7IN8Q-elfcshgqll@b.m-1688664148635	"DH07CUX02 SAP Inclusión Laboral"	"¡hola, boti estoy en el cedel, con qué temas me pueden ayudar ??"	"(con|alguna),(qué|necessito|necesito|neceito|neccesito|q necesitan|se necesita|que necesitan|que se necesita|necesitando|nacesita|necestio|necesite|necesit|necessitar|necesidades|neesito|necessita|necesita|nesecito|necessitando|q necesito|necesidad|nececito),(¡hola,),(el|lo),(en),(boti|robot|robos|rovot|robo),(cedel,),(??),(pueden|necesitamos|necesaria|necessito|necesito|ncesarios|necesarios|se necesita|necesite|necesarias|necesario|neesito|necesita|necesitaria|necessitava|nesecito|necesitaría|necesitariamos|necesidad|nececito),(estoy|necesaria|necessito|necesitamos|necesito|neceito|necesarios|encesito|necesitando|necesite|necesitar|necesarias|necesario|necesidades|necesitaria|neceitaria|nesecito|necesitaría|necesidad|nececito|necesitariamos),(me|preciso),(temas|asuntos),(ayudar|necesitamos|necesaria|necessito|necesito|neceito|necesarios|se necesita|necesitando|necesite|necesitar|necesarias|necesario|necesidades|neesito|necesita|necesitaria|neceitaria|necessitava|nesecito|necesitaría|necesidad|necesitariamos|nececito)"	"La Ciudad tiene varios programas para que puedas *impulsar tu negocio* o *prepararte para tu próximo trabajo*.\r\nSi querés *recibir info* sobre cursos para emprendedores o búsquedas laborales, elegí \u2018Recibir novedades\u2019. \r\nTe puedo contar más sobre: \r\nTe puedo contar más sobre:"	[checkpointLTNP, checkpoint]	[]
true	Desarrollo humano [DH]/07. Inclusión social/02. DH07CUX02 SAP Inclusión Laboral	02. DH07CUX02 SAP Inclusión Laboral		PLBWX5XYGQ2B3GP7IN8Q-o3sv9js8pa@b.m-1691418794761	"DH07CUX02 QR CeDEL Móvil Inclusión Laboral"	"¡hola, boti estoy en el cedel, con qué temas me pueden ayudar"	"(con|alguna),(qué),(¡hola,),(el|lo),(en),(boti|robot|robos|rovot|robo),(cedel,),(pueden|necesitamos|necesaria|necessito|necesito|ncesarios|necesarios|se necesita|necesite|necesarias|necesario|neesito|necesita|necesitaria|necessitava|nesecito|necesitaría|necesitariamos|necesidad|nececito),(estoy|necesaria|necessito|necesitamos|necesito|neceito|necesarios|encesito|necesitando|necesite|necesitar|necesarias|necesario|necesidades|necesitaria|neceitaria|nesecito|necesitaría|necesidad|nececito|necesitariamos),(me|preciso),(temas|asuntos),(ayudar|necesitamos|necesaria|necessito|necesito|neceito|necesarios|se necesita|necesitando|necesite|necesitar|necesarias|necesario|necesidades|neesito|necesita|necesitaria|neceitaria|necessitava|nesecito|necesitaría|necesidad|necesitariamos|nececito)"	""	[]	[]
true	Desarrollo humano [DH]/07. Inclusión social/02. DH07CUX02 SAP Inclusión Laboral	02. DH07CUX02 SAP Inclusión Laboral		PLBWX5XYGQ2B3GP7IN8Q-etqmlq5gfe@b.m-1691418916481	"DH07CUX02 QR UPE Barrio 31 Inclusión Laboral"	"¡hola, boti estoy en el barrio 31, con qué temas me pueden ayudar"	"(barrio),(con),(qué),(¡hola,),(el),(en),(boti),(31,),(pueden),(estoy),(me),(temas),(ayudar)"	""	[]	[]
true	Desarrollo humano [DH]/07. Inclusión social/02. DH07CUX02 SAP Inclusión Laboral	02. DH07CUX02 SAP Inclusión Laboral		PLBWX5XYGQ2B3GP7IN8Q-8kji4bdgds@b.m-1691418557129	"DH07CUX02 QR CeDEL Barrio 20 Inclusión Laboral"	"¡hola, boti estoy en el cedel del barrio 20, con qué temas me pueden ayudar"	"(barrio|dirreción|dirección|direcion|direcciones|direccin|direccion),(con|alguna),(qué|necessito|necesito|neceito|neccesito|q necesitan|se necesita|que necesitan|que se necesita|necesitando|nacesita|necestio|necesite|necesit|necessitar|necesidades|neesito|necessita|necesita|nesecito|necessitando|q necesito|necesidad|nececito),(¡hola,),(el|lo),(en),(del|el),(cedel),(boti|robot|robos|rovot|robo),(20,),(pueden|necesitamos|necesaria|necessito|necesito|ncesarios|necesarios|se necesita|necesite|necesarias|necesario|neesito|necesita|necesitaria|necessitava|nesecito|necesitaría|necesitariamos|necesidad|nececito),(estoy|necesaria|necessito|necesitamos|necesito|neceito|necesarios|encesito|necesitando|necesite|necesitar|necesarias|necesario|necesidades|necesitaria|neceitaria|nesecito|necesitaría|necesidad|nececito|necesitariamos),(me|preciso),(temas|asuntos),(ayudar|necesitamos|necesaria|necessito|necesito|neceito|necesarios|se necesita|necesitando|necesite|necesitar|necesarias|necesario|necesidades|neesito|necesita|necesitaria|neceitaria|necessitava|nesecito|necesitaría|necesidad|necesitariamos|nececito)"	""	[]	[]
true	Desarrollo humano [DH]/07. Inclusión social/02. DH07CUX02 SAP Inclusión Laboral	02. DH07CUX02 SAP Inclusión Laboral		PLBWX5XYGQ2B3GP7IN8Q-npnv7hafc4@b.m-1691418306201	"DH07CUX02 QR CeDEL Ricciardelli Inclusión Laboral"	"¡hola, boti estoy en el cedel del barrio ricciardelli, con qué temas me pueden ayudar"	"(barrio|dirreción|dirección|direcion|direcciones|direccin|direccion),(con|alguna),(qué|necessito|necesito|neceito|neccesito|q necesitan|se necesita|que necesitan|que se necesita|necesitando|nacesita|necestio|necesite|necesit|necessitar|necesidades|neesito|necessita|necesita|nesecito|necessitando|q necesito|necesidad|nececito),(¡hola,),(el|lo),(en),(del|el),(cedel),(boti|robot|robos|rovot|robo),(pueden|necesitamos|necesaria|necessito|necesito|ncesarios|necesarios|se necesita|necesite|necesarias|necesario|neesito|necesita|necesitaria|necessitava|nesecito|necesitaría|necesitariamos|necesidad|nececito),(estoy|necesaria|necessito|necesitamos|necesito|neceito|necesarios|encesito|necesitando|necesite|necesitar|necesarias|necesario|necesidades|necesitaria|neceitaria|nesecito|necesitaría|necesidad|nececito|necesitariamos),(me|preciso),(ricciardelli,),(temas|asuntos),(ayudar|necesitamos|necesaria|necessito|necesito|neceito|necesarios|se necesita|necesitando|necesite|necesitar|necesarias|necesario|necesidades|neesito|necesita|necesitaria|neceitaria|necessitava|nesecito|necesitaría|necesidad|necesitariamos|nececito)"	""	[]	[]
true	Desarrollo humano [DH]/07. Inclusión social/02. DH07CUX02 SAP Inclusión Laboral	02. DH07CUX02 SAP Inclusión Laboral		PLBWX5XYGQ2B3GP7IN8Q-nlncagztn7@b.m-1691418435193	"DH07CUX02 QR CeDEL Barrio 15 Inclusión Laboral"	"¡hola, boti estoy en el cedel del barrio 15, con qué temas me pueden ayudar"	"(barrio),(con),(qué),(¡hola,),(el),(15,),(en),(del),(cedel),(boti),(pueden),(estoy),(me),(temas),(ayudar)"	""	[]	[]
true	Cultura [CU]/09. Centros y edificios culturales/06. CU09CUX96 - Centro de Convenciones	06. CU09CUX96 - Centro de Convenciones		PLBWX5XYGQ2B3GP7IN8Q-p5f2qngh3t@b.m-1699639193918	"CU09CUX06 Apertura corta CEC"	""	""	"Hay mucho más por conocer en el barrio. ???\r\nTe puedo contar sobre:"	[checkpointLTNP]	[]
true	Cultura [CU]/09. Centros y edificios culturales/06. CU09CUX96 - Centro de Convenciones	06. CU09CUX96 - Centro de Convenciones		PLBWX5XYGQ2B3GP7IN8Q-dgcwo67f63@b.m-1699638887285	"CU09CUX06 Apertura QR CEC"	"¡hola, boti estoy en el centro de convenciones de buenos aires. ????"	"(de|necessito|necesito|neceito|necesita|necesirto|necessitava|nececito),(estoy|necesaria|necessito|necesitamos|necesito|neceito|necesarios|encesito|necesitando|necesite|necesitar|necesarias|necesario|necesidades|necesitaria|neceitaria|nesecito|necesitaría|necesidad|nececito|necesitariamos),(convenciones|evento|eventos),(aires.|ciudad autonoma de buenos aires|ciudad de buenos aires),(¡hola,),(el|lo),(centro|donde|adonde|en donde|a donde),(en),(buenos|holu|holis|nola|hila|hija|holaa|jola|bola|hola|hpla|¡hola|holax|yola|holi|hola4|vola|uola|hla|holq|hola,|hols),(boti|robot|robos|rovot|robo),(????|pesos)"	"¡Qué lindo encontrarte por acá, ${firstName}! Soy Boti, el chatbot de la Ciudad.\r\nEstamos en el Centro de Convenciones, en pleno corazón de *Recoleta*. ?\r\nHay un montón de *lugares para conocer* en la zona.  ¡Pst! Podés empezar con una selfie en las escalinatas de la Facultad de Derecho. ??\r\nEmpecemos el recorrido. Elegí una opción y te cuento más:\r\nY si querés *enterarte de eventos* en espacios como el Centro Cultural Recoleta, elegí la primera opción:"	[checkpointLTNP]	[]
true	Cultura [CU]/09. Centros y edificios culturales/06. CU09CUX96 - Centro de Convenciones	06. CU09CUX96 - Centro de Convenciones		PLBWX5XYGQ2B3GP7IN8Q-naautksjvi@b.m-1699639202769	"CU09CUX06 Cómo viajar"	""	""	"Si preferís trasladarte:  ?? *En bicicleta*, hay una estación de Ecobici en Av. Figueroa Alcorta 2133, frente al Centro de Convenciones.   ?? *En taxi*, podés pedir un viaje desde la app de \u2018BA Taxi\u2019.   ?? *En subte*, está cerca la estación Facultad de Derecho de la Línea H.   Escribime \u2018SUBE\u2019 y te cuento cómo pagar tu boleto. \r\n¡Ah! También podés dar una vuelta en el *bus turístico*. ??  La parada está en *Av. Presidente Manuel Quintana 596*, es acá: https://maps.app.goo.gl/ti5rqUkvXxzXkMDT7  ??\r\nElegí una opción y te cuento más:"	[]	[]
true	Ciudad [CIU]/05. Sobre la Ciudad/09- CIU05CUX09 - Espacios verdes/CIU05CUX09 - Caballito	CIU05CUX09 - Caballito		PLBWX5XYGQ2B3GP7IN8Q-bpbv4vuqnl@b.m-1723816909517	"CIU05CUX09 Juegos G Bruno"	""	""	"Hay una *mini locomotora* para que los peques dejen volar su imaginación. ??     Además, tiene una *calesita*, un tobogán, hamacas y un domo trepador. ??  \r\nPodemos seguir charlando sobre otros espacios verdes:"	[]	[]
true	Ciudad [CIU]/05. Sobre la Ciudad/09- CIU05CUX09 - Espacios verdes/CIU05CUX09 - Caballito	CIU05CUX09 - Caballito		PLBWX5XYGQ2B3GP7IN8Q-hk9o49wq08@b.m-1723816775216	"CIU05CUX09 Juegos Rivadavia"	""	""	"En el *patio de juegos* de parque Rivadavia hay:    ???? Un sector para la primera infancia.    ?? Toboganes y hamacas nido.    ?? Sogas escaladoras, resortes para saltar, ¡y más! \r\nTenés más espacios verdes para descubrir en Caballito:"	[]	[]
true	Ciudad [CIU]/05. Sobre la Ciudad/09- CIU05CUX09 - Espacios verdes/CIU05CUX09 - Caballito	CIU05CUX09 - Caballito		PLBWX5XYGQ2B3GP7IN8Q-xzv9zsioif@b.m-1701798097172	"CIU05CUX09 Plaza Irlanda"	""	""	"La *Plaza Irlanda* fue inaugurada en 1927 y lleva su nombre en honor a la Asociación Católica Irlandesa. ????\r\nTiene *esculturas* de grandes artistas y también un *anfiteatro* donde ensayan murgas y se hacen proyecciones de cine. ??\r\nQueda en Av. Gaona y Donato Álvarez: https://maps.app.goo.gl/e369dAopnCfLT3HL9 ??\r\nQueda en Av. Gaona y Donato Álvarez: ??\r\n¿Por dónde seguimos? Elegí una opción y te llevo:"	[]	[]
