Active	Topic path	Topic	Topic keywords	ID	Name	Triggers	Keywords	Bot Says	Variables	Tags
true	01 Flujo Completo McDelivery (Testing)/Revisión del pedido (Testing)	Revisión del pedido (Testing)		GabiBot-aa6ezd4687@b.m-1646841402164	"1. Eliminar Producto (Menu)"	""	""	""	[]	[]
true	01 Flujo Completo McDelivery (Testing)/Revisión del pedido (Testing)	Revisión del pedido (Testing)		GabiBot-5h7nhnvro6@b.m-1641397371068	"Revisión del pedido"	"saltarmp"	""	"null"	[confirmacionPedido]	[]
true	01 Flujo Completo McDelivery (Testing)/Revisión del pedido (Testing)	Revisión del pedido (Testing)		GabiBot-1yxpl11r4a@b.m-1644513151208	"2. Eliminar Producto (Recomendados)"	"testelimina"	""	""	[]	[]
true	01 Flujo Completo McDelivery (Testing)/Revisión del pedido (Testing)	Revisión del pedido (Testing)		GabiBot-sjzzhsqyvm@b.m-1647272311226	"2.1 Eliminar Producto Verificar Cantidad (Recomendados)"	""	""	"Su carrito está vacío..."	[]	[]
true	01 Flujo Completo McDelivery (Testing)/Revisión del pedido (Testing)	Revisión del pedido (Testing)		GabiBot-mminzkx23q@b.m-1646841320554	"3. Eliminar Producto (Menu Completo/Portal)"	""	""	""	[]	[]
true	01 Flujo Completo McDelivery (Testing)/Catálogo (Testing)/Extras (Testing)	Extras (Testing)		GabiBot-wlj2k6lboc@b.m-1643645315432	"Condimentos Adicional"	""	""	"null"	[condimentoExtra]	[]
true	01 Flujo Completo McDelivery (Testing)/Catálogo (Testing)/Extras (Testing)	Extras (Testing)		GabiBot-gneqatz1i3@b.m-1643645417061	"¿Qué bebida prefieres? ??"	""	""	"null"	[bebida]	[]
true	01 Flujo Completo McDelivery (Testing)/Hablar con alguien (testing)	Hablar con alguien (testing)		GabiBot-o6v5c8in6j@b.m-1641397180195	"Hablar con alguien"	"hablar con una persona\r\nquiero hablar con un agente\r\nquiero hablar con un agente novo\r\nquiero hablar con un ser humano\r\nquiero hablar con un seer humano\r\nquiero hablar con un asesor\r\nnoooo quiero hablar con un robot"	"(persona),(hablar|atienda|atiende|ayuda|comunicarme|comunicacion)\r\n(agente),(quiero),(hablar|acceder|atendida|atender|atienda|comunicarme)\r\n(agente),(hablar)\r\n(hablar|atencion|comunicarme|atendido|atiende),(humano)\r\n(hablar),(humano),(seer)\r\n(hablar),(asesor|vendedor|agente|alguien|analista)\r\n(robot|bot|chat|chatbot),(quiero),(hablar),(noooo|no)"	"null\r\n¡Sé que no ves la hora de tener el pedido en tus manos! ??\r\nLamentamos la falla en nuestro servicio, estamos trabajando constantemente en mejorar ?.\r\n¡Entendido! ??\r\nCon gusto puedo ayudarte, solo necesito que me indiques unos datos ??.\r\nnull\r\nnull\r\nnull\r\n¡Muchas gracias!   Te estoy transfiriendo con un operador para que continúe asistiéndote en el proceso ????\u200d??????\u200d??.  ¡Fue un gusto ayudarte! ?"	[opciones, nombre, email, numeroPedido]	[]
true	01 Flujo Completo McDelivery (Testing)/Hablar con alguien (testing)	Hablar con alguien (testing)		GabiBot-hz3aecknfe@b.m-1647538147567	"Desativar atendimento Humano"	""	""	""	[estadoPedido]	[]
true	2. test versiones	2. test versiones		GabiBot-txz8ke5hlh@b.m-1647283921120	"cambio general nombre b"	""	""	""	[]	[]
