Name;Topic path;Topic
SA06CUX02 miBA;Salud [SA] / 06. Gestor de encuentros / 01. SA06CUX01 - Mis Profesionales; 01. SA06CUX01 - Mis Profesionales
TUR01CUX06 Escenario CUIL Tipo de documento;Turnos [TUR] / 01. SIGECI / 06. TUR01CUX06 - Turnera vacunación COVID; 06. TUR01CUX06 - Turnera vacunación COVID
DH03CUX01 Subapertura estática;Desarrollo humano [DH] / 03. Accesibilidad / 01. DH03CUX01 - Accesibilidad; 01. DH03CUX01 - Accesibilidad
AGC02CUX03 Cómo lo hago Paso 3;AGC [AGC] / 02. Otros trámites / 03. AGC03CUX03 - Carnet Manipulador de Alimentos; 03. AGC03CUX03 - Carnet Manipulador de Alimentos
INN08CUX01 Educación DEMO;Innovación [INN] / 08. Botificador / 01. INN08CUX01 - Demo subtopicos; 01. INN08CUX01 - Demo subtopicos
ED00CUX01 Diseño curricular Salida Final;Educación [EDU] / 00. Estructura completa / 01. ED00CUX01  Superapertura + Bifurcadores; 01. ED00CUX01  Superapertura + Bifurcadores
GA01CUX01 Mercados;Gastronomía [GA] / 01. Patios y mercados / 01. GA01CUX01 - Patios y mercados; 01. GA01CUX01 - Patios y mercados
GE01CUX02 Apertura;Género [GE] / 01. Violencias / 02. GE01CUX02 - Violencia contra la mujer; 02. GE01CUX02 - Violencia contra la mujer
TR03CUX17 Taxis y remises;Trámites [TR] / 03. Match directo / 17. TR03CUX17 - Desarrollo urbano y transporte - Transporte; 17. TR03CUX17 - Desarrollo urbano y transporte - Transporte
SE01CUX06 Info adicional – Persona física;Seguridad [SE] / 01. Servicios (Policia, bomberos...) / 06. SE01CUX06 - Ministerio Público Fiscal; 06. SE01CUX06 - Ministerio Público Fiscal
MO05CUX11 DDJJ No acepta ;Movilidad [MO] / 05. Licencias / 11. MO05CUX11 Ficha de salud; 11. MO05CUX11 Ficha de salud
SUA01CUX05 Autos Abandonados - Hay Personas;Solicitudes - Suaci [SUACI] / 01. Espacio público / 05. SUA01CUX05 - Autos abandonados; 05. SUA01CUX05 - Autos abandonados
EP05CUX02 Actividad física;Espacio Público [EP] / 05. Parque de la Ciudad / EP05CUX02 - Estaciones Saludables ; EP05CUX02 - Estaciones Saludables 
OB05CUX02 Registro de plano;Obras [OBR] / 05. DGROC / 02. OB05CUX02 -Super Apertura Obras - DGROC  ; 02. OB05CUX02 -Super Apertura Obras - DGROC  
MO03CUX01 Viajo con mi mascota;Movilidad [MO] / 03. Subte y Tren / 01. MO03CUX01 - Subte Estático; 01. MO03CUX01 - Subte Estático
BOT02CUX05 I1 Incorrecta 2;Boti [BOT] / 02. Cumpleaños / 05. BOT02CUX05 - Botigrama; 05. BOT02CUX05 - Botigrama
AM04CUX04 Visitas guiadas;Ambiente [AM] / 04. Reservas y espacios / 04. AM04CUX04 - Paseo Ambiental del Sur; 04. AM04CUX04 - Paseo Ambiental del Sur
OB05CUX02 Qué necesito demolición;Obras [OBR] / 05. DGROC / 02. OB05CUX02 -Super Apertura Obras - DGROC  ; 02. OB05CUX02 -Super Apertura Obras - DGROC  
BOT06CUX01 Adivinanza 3;Boti [BOT] / 06. Diversión / 01. BOT06CUX01 - Divertite con Boti; 01. BOT06CUX01 - Divertite con Boti
