Name;Topic path;Topic
USIG - Pregunta si confirma dirección;Utilidades para intenciones / USIG - Preguntar calle y altura; USIG - Preguntar calle y altura
TUR01CUX06 Verificación de turno;Turnos [TUR] / 01. SIGECI / 06. TUR01CUX06 - Turnera vacunación COVID; 06. TUR01CUX06 - Turnera vacunación COVID
SUA01CUX07 No Encontró Ubicación - Reparación de luminaria;Solicitudes - Suaci [SUACI] / 01. Espacio público / 07. SUA01CUX07 - Reparación de luminaria / Errores | Reparación de luminaria; Errores | Reparación de luminaria
MO04CUX04 Apertura;Movilidad [MO] / 04. Transporte / 04. MO04CUX04 - Estacionamiento medido; 04. MO04CUX04 - Estacionamiento medido
TR04CUX08 Asiento de la defunción en la libreta de matrimonio;Trámites [TR] / 04. Estáticos Varios / 08. TR04CUX08 - Asiento de la defunción en la libreta de matrimonio; 08. TR04CUX08 - Asiento de la defunción en la libreta de matrimonio
TUR01CUX01 Elegir fecha > No sirve;Turnos [TUR] / 01. SIGECI / 01. TUR01CUX01 - Turno Nuevo ejemplar DNI; 01. TUR01CUX01 - Turno Nuevo ejemplar DNI
Consulta de Expedientes Electrónicos *Apertura;Trámites [TR] / 04. Estáticos Varios / 38. TR04CUX38 - Consulta de Expedientes Electrónicos | Trámites STD; 38. TR04CUX38 - Consulta de Expedientes Electrónicos | Trámites STD
SUA01CUX07 Preguntar Refuerzos - Reparación de luminaria;Solicitudes - Suaci [SUACI] / 01. Espacio público / 07. SUA01CUX07 - Reparación de luminaria; 07. SUA01CUX07 - Reparación de luminaria
CXF01CUX01 Difícil Integraciones;Customer Experience Feedback [CXF] / 01. Customer Experience Feedback (CXF) / 01. CXF01CUX01 - Feedback Boti Integraciones; 01. CXF01CUX01 - Feedback Boti Integraciones
MO04CUX05 Cómo registrarla;Movilidad [MO] / 04. Transporte / 05. MO04CUX05 - SUBE; 05. MO04CUX05 - SUBE
EDU05CUX06 Primaria;Educación [EDU] / 05. Educación Superior / 06. EDU05CUX06 - Profesorados; 06. EDU05CUX06 - Profesorados
Costos del trámite | Disolución de Unión Civil / Convivencial;Trámites [TR] / 04. Estáticos Varios / 26. TR04CUX26 - Disolución de Unión Civil | Convivencial; 26. TR04CUX26 - Disolución de Unión Civil | Convivencial
TUR01CUX09 Confirmación de datos del menor;Turnos [TUR] / 01. SIGECI / 09. TUR01CUX09 Turno para cambio de domicilio; 09. TUR01CUX09 Turno para cambio de domicilio
VI01CUX03 Validar datos;Trámites [TR] / 02. Integraciones STD / 03. TR02CUX03 VI01CUX03 - Copia de escritura; 03. TR02CUX03 VI01CUX03 - Copia de escritura
SUA01CUX14 Hay solicitudes existentes - Preguntar refuerzos;Solicitudes - Suaci [SUACI] / 01. Espacio público / 14. SUA01CUX14 - Reparación de Baches; 14. SUA01CUX14 - Reparación de Baches
 DH08CUX02 Módulo 1;Desarrollo humano [DH] / 08.Educación financiera / 02. DH08CUX02 Curso virtual de Educación Financiera; 02. DH08CUX02 Curso virtual de Educación Financiera
Código Postal por ubicación actual 2;Ciudad [CIU] / 05. Sobre la Ciudad / 05. CIU05CUX05 Buscar Código Postal; 05. CIU05CUX05 Buscar Código Postal
GE01CUX02 Ver hogares y refugios;Género [GE] / 01. Violencias / 02. GE01CUX02 - Violencia contra la mujer; 02. GE01CUX02 - Violencia contra la mujer
EDU04CUX25 Se me rompió;Educación [EDU] / 04. Educación Escolar / 25. EDU04CUX25 - Plan Sarmiento; 25. EDU04CUX25 - Plan Sarmiento
MO01CUX01 Soy taxista;Movilidad [MO] / 01. BA Taxi / 01. MO01CUX01 - BA Taxi; 01. MO01CUX01 - BA Taxi
AGC02CUX01 Registrar ascensor ;AGC [AGC] / 02. Otros trámites / 01. AGC02CUX01 - Ascensores; 01. AGC02CUX01 - Ascensores
TUR01CUX01 No cierre;Turnos [TUR] / 01. SIGECI / 01. TUR01CUX01 - Turno Nuevo ejemplar DNI; 01. TUR01CUX01 - Turno Nuevo ejemplar DNI
EDU03CUX10 Proyectos;Educación [EDU] / 03. Docentes / 10. EDU03CUX10 - Premio Docente; 10. EDU03CUX10 - Premio Docente
EDU01CUX04 Estado de mi beca;Educación [EDU] / 01. Becas / 04. EDU01CUX04 - Becas alimentarias; 04. EDU01CUX04 - Becas alimentarias
AGC01CUX01  Cómo es el trámite;AGC [AGC] / 01. Habilitaciones e Inspecciones / 01. AGC01CUX01 - Habilitaciones; 01. AGC01CUX01 - Habilitaciones
DH08CUX02 Sí, dale V3M2;Desarrollo humano [DH] / 08.Educación financiera / 02. DH08CUX02 Curso virtual de Educación Financiera; 02. DH08CUX02 Curso virtual de Educación Financiera
