Name;Topic path;Topic
miBA01CUX02 Pedido de datos;miBA [MIBA] / 01. Cuenta miBA / 02. MIBA01CUX02 - Blanqueo miBA; 02. MIBA01CUX02 - Blanqueo miBA
EP01CUX01 Contenedores verdes;Espacio Público [EP] / 01. Ciudad Verde / 01. EP01CUX01 - BA Recicla; 01. EP01CUX01 - BA Recicla
SA06CUX02 Hay un error - No soy yo;Salud [SA] / 06. Gestor de encuentros / 02. SA06CUX02 - pushes; 02. SA06CUX02 - pushes
SUA01CUX03 Apertura;Solicitudes - Suaci [SUACI] / 01. Espacio público / 03. SUA01CUX03 - Poda de Árboles; 03. SUA01CUX03 - Poda de Árboles
TUR01CUX05 Buscar por fecha;Turnos [TUR] / 01. SIGECI / 05. TUR01CUX05 - Turno para renovación de licencia de conducir; 05. TUR01CUX05 - Turno para renovación de licencia de conducir
TR01CUX14 Qué necesito;Trámites [TR] / 01. TAD / 14. TR01CUX14 - Registro Administradores de Consorcios - Actualización de Matrículas ; 14. TR01CUX14 - Registro Administradores de Consorcios - Actualización de Matrículas 
MO05CUX08 Nuevas categorías;Movilidad [MO] / 05. Licencias / 08. MO05CUX08 - Ampliación de licencias; 08. MO05CUX08 - Ampliación de licencias
MO08CUX03 Baja o reposición;Movilidad [MO] / 08. Trámites varios / 03. MO08CUX03 - AUSA - Sacar TelePASE; 03. MO08CUX03 - AUSA - Sacar TelePASE
SUA01CUX04 Revalidar Hora;Solicitudes - Suaci [SUACI] / 01. Espacio público / 04. SUA01CUX04 - Auto mal estacionado (NUEVO); 04. SUA01CUX04 - Auto mal estacionado (NUEVO)
SA17CUX01 Numero invalido establecimiento;Salud [SA] / 17. Turnos abiertos; 17. Turnos abiertos
BOT06CUX01 Sticker por tema;Boti [BOT] / 06. Diversión / 01. BOT06CUX01 - Divertite con Boti; 01. BOT06CUX01 - Divertite con Boti
SE01CUX06 Dirección no encontrada;Seguridad [SE] / 01. Servicios (Policia, bomberos...) / 06. SE01CUX06 - Ministerio Público Fiscal; 06. SE01CUX06 - Ministerio Público Fiscal
TR04CUX02 DNI a domicilio;Trámites [TR] / 04. Estáticos Varios / 02. TR04CUX02 - DNI; 02. TR04CUX02 - DNI
MO05CUX10 Pedido de foto DNI dorso;Movilidad [MO] / 05. Licencias / 10. MO05CUX10 Duplicado de licencia; 10. MO05CUX10 Duplicado de licencia
EDU04CUX25 Más información;Educación [EDU] / 04. Educación Escolar / 25. EDU04CUX25 - Plan Sarmiento; 25. EDU04CUX25 - Plan Sarmiento
miBA01CAT03 > ⏳ 2do TO - Sin disponiblidad;Derivaciones [DER] / Derivación / Derivación a agente de Soporte de miBA; Derivación a agente de Soporte de miBA
MO05CUX09 Domicilio inválido;Movilidad [MO] / 05. Licencias / 09. MO05CUX09 - Renovación por cambio de jurisdicción; 09. MO05CUX09 - Renovación por cambio de jurisdicción
EDU04CUX30 Niñez ;Educación [EDU] / 04. Educación Escolar / 30. EDU04CUX30 - Uso del celular; 30. EDU04CUX30 - Uso del celular
DDHH03CUX09 Quiero anotarme;Derechos Humanos [DDHH] / 03. Niños: Derechos y Defensorías / 09. DDHH03CUX09 - Programa Abrazar; 09. DDHH03CUX09 - Programa Abrazar
AG01CUX01 Grandes contribuyentes;AGIP [AG] / 01. Sobre AGIP / 01. AG01CUX01 - AGIP; 01. AG01CUX01 - AGIP
TR01CUX15 Apertura;Trámites [TR] / 01. TAD / 15. TR01CUX15 - TAD Registro de Empleadores; 15. TR01CUX15 - TAD Registro de Empleadores
EM01CUX02 Privada o pública;Empleo [EM] / 01. Violencia laboral / EM01CUX02 - Violencia Laboral (DGNL); EM01CUX02 - Violencia Laboral (DGNL)
CU10CUX02 El Loco Chávez > Contame más;Cultura [CU] / 10. Casco Histórico / 02. CU10CUX02 - Paseo de la historieta; 02. CU10CUX02 - Paseo de la historieta
MO03CUX01 Línea E horarios;Movilidad [MO] / 03. Subte y Tren / 01. MO03CUX01 - Subte Estático; 01. MO03CUX01 - Subte Estático
SA03CUX01 A los seis meses;Salud [SA] / 03. Vacunación general / 01. SA03CUX01 - Vacunación; 01. SA03CUX01 - Vacunación
SA07CUX01 Transmisión Sífilis;Salud [SA] / 07. Salud sexual / 01. SA07CUX01 - Salud Sexual y Reproductiva; 01. SA07CUX01 - Salud Sexual y Reproductiva
DE04CUX01 Básquet;Deportes [DE] / 4. Polideportivos / 01. DE04CUX01 Polideportivos; 01. DE04CUX01 Polideportivos
VC01CAT01 Espera 2;Derivaciones [DER] / Derivación / Derivación a agente de Sedes comunales; Derivación a agente de Sedes comunales
BOT02CUX04 Cabras Cadabras - Pista Obelisco;Boti [BOT] / 02. Cumpleaños / 04. BOT02CUX04 - Perdidos en BA; 04. BOT02CUX04 - Perdidos en BA
BOT01CUX01 ¿Hombre o Mujer?;Boti [BOT] / 01. Perfil / 01. BOT01CUX01 - Personalidad; 01. BOT01CUX01 - Personalidad
SA15CUX01 Empleo con apoyo;Salud [SA] / 15. Salud mental / 01. SA15CUX01 - Líneas de atención psicológicas; 01. SA15CUX01 - Líneas de atención psicológicas
CU01CUX02 Casa Carlos Gardel;Cultura [CU] / 01. Museos / 02. CU01CUX02 - Museos; 02. CU01CUX02 - Museos
CIU05CUX07 ANSES;Ciudad [CIU] / 05. Sobre la Ciudad / 07. CIU05CUX07 - Barrio Mugica; 07. CIU05CUX07 - Barrio Mugica
DEC05CUX01 Necesito ayuda APRA;Desarrollo Económico [DEC] / 05. Empresas / 01. DEC05CUX01 - Boti para empresas, SAP; 01. DEC05CUX01 - Boti para empresas, SAP
