Name;Topic path;Topic
TUR00CUX02 Turnos para trámites;Turnos [TUR];Turnos [TUR]
SA06CUX02 Doc de cabecera;Salud [SA] / 06. Gestor de encuentros / 01. SA06CUX01 - Mis Profesionales; 01. SA06CUX01 - Mis Profesionales
SUA01CUX18 Apertura;Solicitudes - Suaci [SUACI] / 01. Espacio público / 18. SUA01CUX18 - Retiro de objetos en desuso; 18. SUA01CUX18 - Retiro de objetos en desuso
CIU07CUX01 Impuestos y trámites;Ciudad [CIU] / 07. Buepp; 07. Buepp
EP03CUX01 Guardián de árboles;Espacio Público [EP] / 03. Arbolado / 01. EP03CUX01 - Arbolado; 01. EP03CUX01 - Arbolado
SUA01CUX05 Autos Abandonados - Dirección vehículo abandonado;Solicitudes - Suaci [SUACI] / 01. Espacio público / 05. SUA01CUX05 - Autos abandonados; 05. SUA01CUX05 - Autos abandonados
SUA01CUX24 Tipo de login;Solicitudes - Suaci [SUACI] / 01. Espacio público / 24. SUA01CUX24 Residuos fuera del contenedor; 24. SUA01CUX24 Residuos fuera del contenedor
TR03CUX03 Subsidios;Trámites [TR] / 03. Match directo / 03. TR03CUX03 - Cultura; 03. TR03CUX03 - Cultura
Agentes humanos (Apertura) > Es por otro tema (Response) > Más temas;Derivaciones [DER] / Operador; Operador
TUR01CUX10 Corregir datos III;Turnos [TUR] / 01. SIGECI / 10. TUR01CUX10 Turno para acta de tránsito; 10. TUR01CUX10 Turno para acta de tránsito
SUA01CUX36 Problema del semáforo;Solicitudes - Suaci [SUACI] / 01. Espacio público / 36. SUA01CUX36 Reparación de semáforo; 36. SUA01CUX36 Reparación de semáforo
EDU04CUX24 Apertura;Educación [EDU] / 04. Educación Escolar / 24. EDU04CUX24 - Plan 54 nuevas escuelas ; 24. EDU04CUX24 - Plan 54 nuevas escuelas 
MA01CUX01 Qué necesito;Mascotas [MA] / 01. Mascotas / 01. MA01CUX01 - Mascotas; 01. MA01CUX01 - Mascotas
DEC05CUX01 Apertura;Desarrollo Económico [DEC] / 05. Empresas / 01. DEC05CUX01 - Boti para empresas, SAP; 01. DEC05CUX01 - Boti para empresas, SAP
AGC01CUX01  Ya empecé el trámite;AGC [AGC] / 01. Habilitaciones e Inspecciones / 01. AGC01CUX01 - Habilitaciones; 01. AGC01CUX01 - Habilitaciones
CU01CUX02 Museo del Cine;Cultura [CU] / 01. Museos / 02. CU01CUX02 - Museos; 02. CU01CUX02 - Museos
