Name;Topic path;Topic
Permitido estacionar por ubicación actual;Movilidad [MO] / 04. Transporte / 07. MO04CUX07 - Permitido estacionar; 07. MO04CUX07 - Permitido estacionar
MO08CUX03 Mi TelePASE;Movilidad [MO] / 08. Trámites varios / 03. MO08CUX03 - AUSA - Sacar TelePASE; 03. MO08CUX03 - AUSA - Sacar TelePASE
TRA04CUX17 Apertura ;Trámites [TR] / 04. Estáticos Varios / 17. TR04CUX17 - Ciudadanía Porteña; 17. TR04CUX17 - Ciudadanía Porteña
SA06CUX02 No hay mail en SIGHEOS;Salud [SA] / 06. Gestor de encuentros / 01. SA06CUX01 - Mis Profesionales; 01. SA06CUX01 - Mis Profesionales
SA07CUX01 Consejerías;Salud [SA] / 07. Salud sexual / 01. SA07CUX01 - Salud Sexual y Reproductiva; 01. SA07CUX01 - Salud Sexual y Reproductiva
BOT03CUX01 Lector de pantalla;Boti [BOT] / 03. Tutorial - Cómo chatear / 01. BOT03CUX01 Tutorial - Cómo hablar con Boti; 01. BOT03CUX01 Tutorial - Cómo hablar con Boti
CU01CUX08 BA: Punto de Partida;Cultura [CU] / 01. Museos / 08. CU01CUX08 - BAM Fan de la Cultura; 08. CU01CUX08 - BAM Fan de la Cultura
CXF01CUX04 Muy conforme CATs;Customer Experience Feedback [CXF] / 01. Customer Experience Feedback (CXF) / 04. CXF01CUX04 - Feedback Boti CAT; 04. CXF01CUX04 - Feedback Boti CAT
MO05CUX08 No encuentra dirección DNI;Movilidad [MO] / 05. Licencias / 08. MO05CUX08 - Ampliación de licencias; 08. MO05CUX08 - Ampliación de licencias
TUR01CUX06 Número de documento;Turnos [TUR] / 01. SIGECI / 06. TUR01CUX06 - Turnera vacunación COVID; 06. TUR01CUX06 - Turnera vacunación COVID
Validación salida flujo de espera | AGIP;Derivaciones [DER] / Derivación / Derivación a agente de AGIP / Instancias de espera AGIP; Instancias de espera AGIP
SUA01CUX13 Confirma direccion;Solicitudes - Suaci [SUACI] / 01. Espacio público / 13. SUA01CUX13 - Falta de conservación de fachada; 13. SUA01CUX13 - Falta de conservación de fachada
MO05CUX09 Usuario sin CUIL en miBA;Movilidad [MO] / 05. Licencias / 09. MO05CUX09 - Renovación por cambio de jurisdicción; 09. MO05CUX09 - Renovación por cambio de jurisdicción
SUA01CUX08 Descripción nueva solicitud;Solicitudes - Suaci [SUACI] / 01. Espacio público / 08. SUA01CUX08 - Mejora de Barrido; 08. SUA01CUX08 - Mejora de Barrido
TUR01CUX02 Por fecha > No sirve;Turnos [TUR] / 01. SIGECI / 02. TUR01CUX02 - Turno para Validación Presencial; 02. TUR01CUX02 - Turno para Validación Presencial
TU01CUX01 Programas de calidad;Turismo [TU] / 01. Turismo BA / 01. TU01CUX01 - Turismo en BA; 01. TU01CUX01 - Turismo en BA
SA07CUX01 Tratamiento Sífilis;Salud [SA] / 07. Salud sexual / 01. SA07CUX01 - Salud Sexual y Reproductiva; 01. SA07CUX01 - Salud Sexual y Reproductiva
TUR01CUX03 Seleccionar hora - Por Lugar;Turnos [TUR] / 01. SIGECI / 03. TUR01CUX03 - Identidad de Género; 03. TUR01CUX03 - Identidad de Género
BOT02CUX05 M1 Correcta;Boti [BOT] / 02. Cumpleaños / 05. BOT02CUX05 - Botigrama; 05. BOT02CUX05 - Botigrama
TR03CUX22 Permisos para eventos;Trámites [TR] / 03. Match directo / 22. TR03CUX22 - Ordenamiento del Espacio Público; 22. TR03CUX22 - Ordenamiento del Espacio Público
DH11CUX05 V1;Desarrollo humano [DH] / 11. Inclusión financiera / 05. DH11CUX05 Curso Fotoproducto virtual; 05. DH11CUX05 Curso Fotoproducto virtual
BOT01CUX01 Risa;Boti [BOT] / 01. Perfil / 01. BOT01CUX01 - Personalidad; 01. BOT01CUX01 - Personalidad
CU10CUX02 Contame más (Personajes de Calé);Cultura [CU] / 10. Casco Histórico / 02. CU10CUX02 - Paseo de la historieta; 02. CU10CUX02 - Paseo de la historieta
JU03CUX01 Qué necesito;Justicia [JU] / 03. Subsecretaría de Justicia / 01. JU03CUX01 - Patrocinio penal; 01. JU03CUX01 - Patrocinio penal
Instancia 3 | No entendidos 2;Derivaciones [DER] / Operador; Operador
SA01CAT01 Sí, dale ;Derivaciones [DER] / Derivación / Derivación a agente de SIGEHOS; Derivación a agente de SIGEHOS
TR03CUX08 Registro de artefactos térmicos / Calderas;Trámites [TR] / 03. Match directo / 08. TR03CUX08 - AGC; 08. TR03CUX08 - AGC
DEC03CUX01 Espacios BA;Desarrollo Económico [DEC] / 03. Patrocinio BA / 01. DEC03CUXO1 - Patrocinio BA; 01. DEC03CUXO1 - Patrocinio BA
MO03CUX01 Bicis y mascotas;Movilidad [MO] / 03. Subte y Tren / 01. MO03CUX01 - Subte Estático; 01. MO03CUX01 - Subte Estático
TRA04CUX01 Empezar trámite;Trámites [TR] / 02. Integraciones STD / 10. TR02CUX10 - Solicitud de Certificado de Legalidad (EX TRA04CUX01); 10. TR02CUX10 - Solicitud de Certificado de Legalidad (EX TRA04CUX01)
NI01CUX07 A caballo;Niñez [NI] / 01. Boticuentos / 07. NI01CUX07 - Boticuentos 2023: Misión al pasado; 07. NI01CUX07 - Boticuentos 2023: Misión al pasado
Filtro de segurización;;
AGC01CUX01  Anexo técnico;AGC [AGC] / 01. Habilitaciones e Inspecciones / 01. AGC01CUX01 - Habilitaciones; 01. AGC01CUX01 - Habilitaciones
"Flow fulfilled of ""Renovación""";;
SA14CUX01 Apertura;Salud [SA] / 14. Cáncer de mama / 01. SA14CUX01 - Prevención cáncer de mama; 01. SA14CUX01 - Prevención cáncer de mama
TUR00CUX02 Para vehículos;Turnos [TUR];Turnos [TUR]
DE03CUX01 Otras piletas;Deportes [DE] / 03. Recreación / 01. DE03CUX1 Piletas de la ciudad; 01. DE03CUX1 Piletas de la ciudad
MO05CUX09 Cadena de validaciones;Movilidad [MO] / 05. Licencias / 09. MO05CUX09 - Renovación por cambio de jurisdicción; 09. MO05CUX09 - Renovación por cambio de jurisdicción
DH11CUX02 Chat por whatsapp;Desarrollo humano [DH] / 11. Inclusión financiera / 02. DH11CUX02 Identidad de marca (estático); 02. DH11CUX02 Identidad de marca (estático)
SA06CUX02 No hay teléfono en SIGHEOS;Salud [SA] / 06. Gestor de encuentros / 01. SA06CUX01 - Mis Profesionales; 01. SA06CUX01 - Mis Profesionales
EDU02CUX02 Apertura;Educación [EDU] / 02. Cursos y talleres / 02. EDU02CUX02 - Educación No Formal; 02. EDU02CUX02 - Educación No Formal
TUR01CUX10 Corroboración de datos;Turnos [TUR] / 01. SIGECI / 10. TUR01CUX10 Turno para acta de tránsito; 10. TUR01CUX10 Turno para acta de tránsito
TR00CUX01 Apertura corta;Trámites [TR];Trámites [TR]
TR01CUX06 Apertura;Trámites [TR] / 01. TAD / 06. TR01CUX06 - Adecuación Provisoria Redeterminación de Precios; 06. TR01CUX06 - Adecuación Provisoria Redeterminación de Precios
MO04CUX05 Consultas frecuentes;Movilidad [MO] / 04. Transporte / 05. MO04CUX05 - SUBE; 05. MO04CUX05 - SUBE
DH08CUX02 Pregunta V2M1;Desarrollo humano [DH] / 08.Educación financiera / 02. DH08CUX02 Curso virtual de Educación Financiera; 02. DH08CUX02 Curso virtual de Educación Financiera
Cierre sin pills WA;0. Core del bot (No tocar);0. Core del bot (No tocar)
SA08CUX01 Campañas de donación;Salud [SA] / 08. Donación / 01. SA08CUX01 - Donación de sangre 🩸; 01. SA08CUX01 - Donación de sangre 🩸
TR04CUX02 Rectificación;Trámites [TR] / 04. Estáticos Varios / 02. TR04CUX02 - DNI; 02. TR04CUX02 - DNI
Derivación desde la web;Derivaciones [DER] / Derivación / Derivación a agente de BA Taxi; Derivación a agente de BA Taxi
EDU01CAT02 Vuelta de derivación;Derivaciones [DER] / Derivación / Deriva a agente de Terminá la Secundaria ; Deriva a agente de Terminá la Secundaria 
EDU03CUX10 Participantes;Educación [EDU] / 03. Docentes / 10. EDU03CUX10 - Premio Docente; 10. EDU03CUX10 - Premio Docente
limpiar variables;00. REVISAR ⚠️;00. REVISAR ⚠️
MO03CUX01 Línea C horarios;Movilidad [MO] / 03. Subte y Tren / 01. MO03CUX01 - Subte Estático; 01. MO03CUX01 - Subte Estático
VI01CUX06 Financiamiento;Vivienda [VI] / 01. Instituto de la Vivienda (IVC) / 06. VI01CUX06 Refacción + Fácil; 06. VI01CUX06 Refacción + Fácil
EM01CUX02 Denuncias trabajo;Empleo [EM] / 01. Violencia laboral / EM01CUX02 - Violencia Laboral (DGNL); EM01CUX02 - Violencia Laboral (DGNL)
INN10CUX09 No entendido - audio;Innovación [INN] / 10. Boti LLM / 09. INN10CUX09 - Experiencia accesibilidad PI; 09. INN10CUX09 - Experiencia accesibilidad PI
TR04CUX02 Seguimiento DNI;Trámites [TR] / 04. Estáticos Varios / 02. TR04CUX02 - DNI; 02. TR04CUX02 - DNI
GE01CUX03 Denuncia acoso callejero;Género [GE] / 01. Violencias / 03. GE01CUX03 - Acoso callejero; 03. GE01CUX03 - Acoso callejero
OB05CUX02 Apertura corta;Obras [OBR] / 05. DGROC / 02. OB05CUX02 -Super Apertura Obras - DGROC  ; 02. OB05CUX02 -Super Apertura Obras - DGROC  
TR03CUX22 Publicidad en espacios públicos;Trámites [TR] / 03. Match directo / 22. TR03CUX22 - Ordenamiento del Espacio Público; 22. TR03CUX22 - Ordenamiento del Espacio Público
EDU04CUX06 Frase 4 - Verdad;Educación [EDU] / 04. Educación Escolar / 06. EDU04CUX06 - Bullying; 06. EDU04CUX06 - Bullying
IN01CAT01 miBA Login para Infracciones;Derivaciones [DER] / Derivación / Derivación a agente de Infracciones; Derivación a agente de Infracciones
DH01CUX03 Pedido de datos - DNI del dueño;Desarrollo humano [DH] / 01. Atención social / 02. TR02CUX02 - Rendición de Subsidio Habitacional 690; 02. TR02CUX02 - Rendición de Subsidio Habitacional 690
TUR01CUX05 Validar datos;Turnos [TUR] / 01. SIGECI / 05. TUR01CUX05 - Turno para renovación de licencia de conducir; 05. TUR01CUX05 - Turno para renovación de licencia de conducir
AG01CUX01 Derivación AGIP;Derivaciones [DER] / Derivación / Derivación a agente de AGIP; Derivación a agente de AGIP
EDU02CUX09 Quiero anotarme Secundaria;Educación [EDU] / 02. Cursos y talleres / 09. EDU02CUX09 - Talento Tech; 09. EDU02CUX09 - Talento Tech
INN08CUX01 Anzuelo Salud General V2;Innovación [INN] / 08. Botificador / 01. INN08CUX01 - Botificador; 01. INN08CUX01 - Botificador
ED02CUX08 Puntos digitales;Educación [EDU] / 02. Cursos y talleres / 08. EDU02CUX08 - Ciudad Bilingue; 08. EDU02CUX08 - Ciudad Bilingue
AG01CUX01 Cambiar titularidad Patentes;AGIP [AG] / 01. Sobre AGIP / 01. AG01CUX01 - AGIP; 01. AG01CUX01 - AGIP
AG01CUX02 Apertura;AGIP [AG] / 01. Sobre AGIP / 02. AG01CUX02 - Ingresos Brutos; 02. AG01CUX02 - Ingresos Brutos
DDHH03CUX01 Superapertura;Derechos Humanos [DDHH] / 03. Niños: Derechos y Defensorías; 03. Niños: Derechos y Defensorías
EDU07CUX01  Apertura ;Educación [EDU] / 07. Biblioteca Digital, materias y links / 01. EDU07CUX01 - Biblioteca digital; 01. EDU07CUX01 - Biblioteca digital
DDHH03CUX09 Cómo es el taller;Derechos Humanos [DDHH] / 03. Niños: Derechos y Defensorías / 09. DDHH03CUX09 - Programa Abrazar; 09. DDHH03CUX09 - Programa Abrazar
TUR01CUX05 Validar datos - Elegir turno;Turnos [TUR] / 01. SIGECI / 05. TUR01CUX05 - Turno para renovación de licencia de conducir; 05. TUR01CUX05 - Turno para renovación de licencia de conducir
NI01CUX09 Subir a la calesita;Niñez [NI] / 01. Boticuentos / 09. NI01CUX09 - El fantasma del Anfiteatro; 09. NI01CUX09 - El fantasma del Anfiteatro
DH05CUX01 Centro de evaluación;Desarrollo humano [DH] / 05. Adicciones / 01. DH05CUX01 - Adicciones; 01. DH05CUX01 - Adicciones
CXF01CUX04 Difícil CATs;Customer Experience Feedback [CXF] / 01. Customer Experience Feedback (CXF) / 04. CXF01CUX04 - Feedback Boti CAT; 04. CXF01CUX04 - Feedback Boti CAT
TR03CUX08 Seguridad alimentaria;Trámites [TR] / 03. Match directo / 08. TR03CUX08 - AGC; 08. TR03CUX08 - AGC
SA02CUX03 Solo vacuna;Salud [SA] / 02. Test COVID / 03. SA02CUX03 - Certificado COVID-19; 03. SA02CUX03 - Certificado COVID-19
BOT02CUX06 Respuesta incorrecta - imagen 2 de 1;Boti [BOT] / 02. Cumpleaños / 06. BOT02CUX06 - Piedra Libre; 06. BOT02CUX06 - Piedra Libre
DDHH03CUX08 Intro derivación;Derivaciones [DER] / Derivación / Línea 102; Línea 102
DH01CAT03 Fuera del horario de atención;Derivaciones [DER] / Derivación / Derivación a agente de IVC; Derivación a agente de IVC
MO08CAT01 Buscando operador;Derivaciones [DER] / Derivación / Derivación a agente de AUSA; Derivación a agente de AUSA
MO01CUX02 Info útil;Movilidad [MO] / 01. BA Taxi / 02. MO01CUX02 - Tarifas prefijadas aeropuertos; 02. MO01CUX02 - Tarifas prefijadas aeropuertos
NI01CUX02  Apertura;Niñez [NI] / 01. Boticuentos / 02. NI01CUX02 - Pin8 🤖; 02. NI01CUX02 - Pin8 🤖
EDU05CUX06 Historia;Educación [EDU] / 05. Educación Superior / 06. EDU05CUX06 - Profesorados; 06. EDU05CUX06 - Profesorados
Bicicletas (Apertura) > Bicicleterías * Response;Movilidad [MO] / 06. Bicicletas / 01. MO06CUX01 - Bicicletas; 01. MO06CUX01 - Bicicletas
EP01CUX01 Sello verde;Espacio Público [EP] / 01. Ciudad Verde / 01. EP01CUX01 - BA Recicla; 01. EP01CUX01 - BA Recicla
TR03CUX09 Consulta Trámites APRA online;Trámites [TR] / 03. Match directo / 09. TR03CUX09 - Ambiente y EP; 09. TR03CUX09 - Ambiente y EP
DEC02CUX01 Más requisitos;Desarrollo Económico [DEC] / 02. Distritos Económicos / 01. DEC02CUX01 - Distrito del Vino 🍷; 01. DEC02CUX01 - Distrito del Vino 🍷
CO08CUX07 Sobre las pistas;Coyuntura [CO] / 08. Obras / 07. CO08CUX7 - Pista Parque Sarmiento; 07. CO08CUX7 - Pista Parque Sarmiento
DEC01CUX01 Transporte;Desarrollo Económico [DEC] / 01. Juventud / 01. DEC01CUX01 Juventud; 01. DEC01CUX01 Juventud
CIU05CUX07 Más sobre trámites;Ciudad [CIU] / 05. Sobre la Ciudad / 07. CIU05CUX07 - Barrio Mugica; 07. CIU05CUX07 - Barrio Mugica
TUR01CUX14 Tiene menos de 65;Turnos [TUR] / 01. SIGECI / 14. TUR01CUX14 - Turnera vacunación antigripal; 14. TUR01CUX14 - Turnera vacunación antigripal
BOT02CUX08 Puntaje Nivel 2;Boti [BOT] / 02. Cumpleaños / 08. BOT02CUX08 - Turisteando; 08. BOT02CUX08 - Turisteando
SE06CUX01 Más info útil;Seguridad [SE] / 06. Senderos escolares / 01. SE06CUX01 - Senderos escolares; 01. SE06CUX01 - Senderos escolares
CIU05CUX03 Apertura corta CAT Palermo;Ciudad [CIU] / 05. Sobre la Ciudad / 03. CIU05CUX03 - Barrios de la Ciudad / 07. CIU05CUX03 - Palermo; 07. CIU05CUX03 - Palermo
DH05CAT01 Pedido de datos – Cobertura médica;Derivaciones [DER] / Derivación / Derivacion a agente de Adicciones; Derivacion a agente de Adicciones
AM03CUX04 Etiquetas y consumo;Ambiente [AM] / 03. Ambiente / 04. AM03CUX04 - Ambiente; 04. AM03CUX04 - Ambiente
