rule_name,cant_sesiones
CXF01CUX03 No Pushes,11
CXF01CUX03 No avisos Pushes,10
CXF01CUX02 Difícil Estáticos,1398
CXF01CUX02 P1 Estáticos,181477
CXF01CUX01 Fácil Integraciones,4398
CXF01CUX01 Conforme Integraciones,4286
CXF01CUX00 Cierre Sin Sugerencia,12259
CXF01CUX02 Sí Estáticos,7662
CXF01CUX02 P3 Estáticos,10816
CXF01CUX01 Sí Integraciones,21444
CXF01CUX01 Muy fácil Integraciones,11687
CXF01CUX04 P1 CATs,13276
CXF01CUX02 Muy conforme Estáticos,2898
CXF01CUX02 Muy inconforme Estáticos,1833
CXF01CUX02 Fácil Estáticos,1946
CXF01CUX04 Muy fácil CATs,2179
CXF01CUX03 No sé Pushes,4
CXF01CUX04 Muy inconforme CATs,967
CXF01CUX04 Ni fácil ni difícil CATs,995
CXF01CUX00 Preapertura,324409
CXF01CUX02 Más o menos Estáticos,1945
CXF01CUX02 P4 Estáticos,9221
CXF01CUX02 No sé Estáticos,1171
CXF01CUX02 Inconforme Estáticos,1241
CXF01CUX04 Difícil CATs,677
CXF01CUX04 Muy difícil CATs,779
CXF01CUX01 P4 Integraciones,19161
CXF01CUX04 P2 CATs,7860
CXF01CUX01 P3 Integraciones,22380
CXF01CUX03 Conforme Pushes,3
CXF01CUX01 Muy difícil Integraciones,2427
CXF01CUX01 No Integraciones,10247
CXF01CUX01 Muy inconforme Integraciones,1954
CXF01CUX04 Inconforme CATs,541
CXF01CUX02 Muy fácil Estáticos,2723
CXF01CUX01 Más o menos Integraciones,2567
CXF01CUX02 P2 Estáticos,16259
CXF01CUX04 P3 CATs,6773
CXF01CUX01 P1 Integraciones,142958
CXF01CUX04 Sí CATs,5189
CXF01CUX02 Conforme Estáticos,2079
CXF01CUX02 No Estáticos,8598
CXF01CUX03 Muy conforme Pushes,19
CXF01CUX04 No sé CATs,504
CXF01CUX04 No CATs,2671
CXF01CUX01 P2 Integraciones,31690
CXF01CUX03 Inconforme Pushes,2
CXF01CUX04 Muy conforme CATs,3534
CXF01CUX04 Fácil CATs,1454
CXF01CUX01 Inconforme Integraciones,1401
CXF01CUX03 Sí Pushes,46
CXF01CUX03 P2 Pushes,57
CXF01CUX01 Muy conforme Integraciones,10025
CXF01CUX04 Conforme CATs,1227
CXF01CUX03 P3 Pushes,28
CXF01CUX00 Cierre Con sugerencia,22266
CXF01CUX01 Difícil Integraciones,1301
CXF01CUX02 Muy difícil Estáticos,2805
CXF01CUX04 P4 CATs,6084
CXF01CUX01 No sé Integraciones ,1495
