rule_name,cant_sesiones
CXF01CUX04 Muy difícil CATs,757
CXF01CUX04 Muy inconforme CATs,951
CXF01CUX04 Ni fácil ni difícil CATs,1055
CXF01CUX00 Preapertura,388396
CXF01CUX02 Más o menos Estáticos,1814
CXF01CUX04 Muy fácil CATs,2711
CXF01CUX03 No sé Pushes,1
CXF01CUX01 P4 Integraciones,16664
CXF01CUX02 Difícil Estáticos,1291
CXF01CUX02 Muy conforme Estáticos,2772
CXF01CUX03 No avisos Pushes,4
CXF01CUX03 No Pushes,10
CXF01CUX02 Conforme Estáticos,1987
CXF01CUX03 Muy inconforme Pushes,1
CXF01CUX04 P4 CATs,6766
CXF01CUX01 No sé Integraciones ,1365
CXF01CUX02 Muy difícil Estáticos,2549
CXF01CUX04 Inconforme CATs,539
CXF01CUX01 Muy inconforme Integraciones,1657
CXF01CUX02 Muy fácil Estáticos,2659
CXF01CUX02 Muy inconforme Estáticos,1654
CXF01CUX03 P2 Pushes,42
CXF01CUX01 Muy difícil Integraciones,2052
CXF01CUX04 P2 CATs,8903
CXF01CUX01 No Integraciones,8928
CXF01CUX03 Conforme Pushes,4
CXF01CUX01 P1 Integraciones,143529
CXF01CUX04 Sí CATs,6080
CXF01CUX04 P3 CATs,7523
CXF01CUX02 P2 Estáticos,15691
CXF01CUX01 Más o menos Integraciones,2243
CXF01CUX00 Cierre Sin Sugerencia,11082
CXF01CUX01 Sí Integraciones,19019
CXF01CUX01 Muy fácil Integraciones,10112
CXF01CUX00 Cierre Con sugerencia,21083
CXF01CUX01 Difícil Integraciones,1096
CXF01CUX02 No Estáticos,8257
CXF01CUX03 Muy conforme Pushes,14
CXF01CUX02 P1 Estáticos,244886
CXF01CUX01 Fácil Integraciones,3966
CXF01CUX04 No CATs,2823
CXF01CUX04 No sé CATs,519
CXF01CUX02 Fácil Estáticos,1975
CXF01CUX04 P1 CATs,15617
CXF01CUX01 Muy conforme Integraciones,8610
CXF01CUX01 P2 Integraciones,27946
CXF01CUX03 Inconforme Pushes,1
CXF01CUX02 P4 Estáticos,8678
CXF01CUX02 No sé Estáticos,1189
CXF01CUX02 P3 Estáticos,10286
CXF01CUX01 Conforme Integraciones,3810
CXF01CUX04 Muy conforme CATs,4146
CXF01CUX01 P3 Integraciones,19468
CXF01CUX04 Conforme CATs,1368
CXF01CUX03 P3 Pushes,21
CXF01CUX02 Inconforme Estáticos,1077
CXF01CUX04 Difícil CATs,599
CXF01CUX04 Fácil CATs,1644
CXF01CUX02 Sí Estáticos,7435
CXF01CUX01 Inconforme Integraciones,1222
CXF01CUX03 Sí Pushes,33
