rule_name,cant_sesiones
CXF01CUX04 Muy difícil CATs,594
CXF01CUX04 Muy fácil CATs,1131
CXF01CUX03 No sé Pushes,3
CXF01CUX04 P2 CATs,4594
CXF01CUX02 Fácil Estáticos,1756
CXF01CUX02 Inconforme Estáticos,1022
CXF01CUX02 P4 Estáticos,7842
CXF01CUX02 No sé Estáticos,982
CXF01CUX03 Conforme Pushes,14
CXF01CUX01 P2 Integraciones,24570
CXF01CUX01 Conforme Integraciones,3287
CXF01CUX02 Difícil Estáticos,1102
CXF01CUX02 P3 Estáticos,9225
CXF01CUX04 P4 CATs,3539
CXF01CUX01 No sé Integraciones ,1201
CXF01CUX02 Muy difícil Estáticos,2561
CXF01CUX03 Muy inconforme Pushes,3
CXF01CUX04 Difícil CATs,401
CXF01CUX04 Conforme CATs,704
CXF01CUX03 P3 Pushes,50
CXF01CUX00 Cierre Sin Sugerencia,12174
CXF01CUX00 Cierre Con sugerencia,16808
CXF01CUX01 Difícil Integraciones,986
CXF01CUX04 Muy conforme CATs,1881
CXF01CUX02 Muy conforme Estáticos,2365
CXF01CUX04 P1 CATs,8327
CXF01CUX01 Sí Integraciones,16453
CXF01CUX01 Muy fácil Integraciones,8805
CXF01CUX03 No Pushes,19
CXF01CUX03 No avisos Pushes,14
CXF01CUX01 Más o menos Integraciones,2045
CXF01CUX02 P1 Estáticos,209249
CXF01CUX01 Fácil Integraciones,3324
CXF01CUX02 No Estáticos,7420
CXF01CUX03 Muy conforme Pushes,30
CXF01CUX01 P4 Integraciones,14763
CXF01CUX02 Conforme Estáticos,1760
CXF01CUX02 P2 Estáticos,13901
CXF01CUX04 P3 CATs,3922
CXF01CUX01 P1 Integraciones,115331
CXF01CUX04 Sí CATs,2934
CXF01CUX02 Muy inconforme Estáticos,1715
CXF01CUX04 Fácil CATs,806
CXF01CUX03 Sí Pushes,80
CXF01CUX01 Inconforme Integraciones,1113
CXF01CUX02 Sí Estáticos,6486
CXF01CUX01 No Integraciones,8118
CXF01CUX04 No CATs,1660
CXF01CUX04 No sé CATs,303
CXF01CUX02 Muy fácil Estáticos,2307
CXF01CUX04 Muy inconforme CATs,701
CXF01CUX04 Ni fácil ni difícil CATs,606
CXF01CUX00 Preapertura,324557
CXF01CUX02 Más o menos Estáticos,1502
CXF01CUX03 P2 Pushes,99
CXF01CUX01 P3 Integraciones,17113
CXF01CUX01 Muy conforme Integraciones,7504
CXF01CUX01 Muy inconforme Integraciones,1660
CXF01CUX04 Inconforme CATs,333
CXF01CUX01 Muy difícil Integraciones,1954
