rule_name,cant_sesiones
CXF01CUX02 P3 Estáticos,10312
CXF01CUX04 Difícil CATs,1089
CXF01CUX04 Muy fácil CATs,3670
CXF01CUX03 No sé Pushes,1
CXF01CUX01 P2 Integraciones,36113
CXF01CUX02 Muy inconforme Estáticos,1636
CXF01CUX02 P4 Estáticos,8776
CXF01CUX02 No sé Estáticos,1052
CXF01CUX00 Cierre Sin Sugerencia,13665
CXF01CUX02 Fácil Estáticos,2011
CXF01CUX04 Ni fácil ni difícil CATs,1704
CXF01CUX04 P4 CATs,10400
CXF01CUX02 Muy difícil Estáticos,2595
CXF01CUX01 No sé Integraciones ,1859
CXF01CUX01 Sí Integraciones,23982
CXF01CUX01 Muy fácil Integraciones,12914
CXF01CUX00 Preapertura,384959
CXF01CUX02 Más o menos Estáticos,1817
CXF01CUX02 Muy fácil Estáticos,2702
CXF01CUX02 Conforme Estáticos,2004
CXF01CUX01 Muy conforme Integraciones,11044
CXF01CUX02 Inconforme Estáticos,1095
CXF01CUX04 Muy conforme CATs,5596
CXF01CUX00 Cierre Con sugerencia,27528
CXF01CUX01 Difícil Integraciones,1407
CXF01CUX02 Muy conforme Estáticos,2990
CXF01CUX04 P2 CATs,13821
CXF01CUX02 P1 Estáticos,225669
CXF01CUX01 Fácil Integraciones,5269
CXF01CUX04 P3 CATs,11610
CXF01CUX02 P2 Estáticos,15534
CXF01CUX01 P1 Integraciones,159319
CXF01CUX04 Sí CATs,8562
CXF01CUX04 P1 CATs,25410
CXF01CUX01 No Integraciones,12131
CXF01CUX03 Conforme Pushes,5
CXF01CUX03 P2 Pushes,38
CXF01CUX01 Muy difícil Integraciones,2785
CXF01CUX01 Conforme Integraciones,5078
CXF01CUX01 Muy inconforme Integraciones,2218
CXF01CUX04 Inconforme CATs,1096
CXF01CUX04 Muy inconforme CATs,1926
CXF01CUX02 Difícil Estáticos,1189
CXF01CUX01 P3 Integraciones,25583
CXF01CUX04 Conforme CATs,2089
CXF01CUX03 P3 Pushes,15
CXF01CUX04 No CATs,5263
CXF01CUX04 No sé CATs,909
CXF01CUX03 No avisos Pushes,6
CXF01CUX03 No Pushes,8
CXF01CUX02 No Estáticos,7869
CXF01CUX03 Muy conforme Pushes,9
CXF01CUX01 Más o menos Integraciones,3208
CXF01CUX01 P4 Integraciones,21941
CXF01CUX04 Muy difícil CATs,1514
CXF01CUX02 Sí Estáticos,7668
CXF01CUX04 Fácil CATs,2424
CXF01CUX01 Inconforme Integraciones,1742
CXF01CUX03 Sí Pushes,30
