rule_name,cant_sesiones
CXF01CUX04 Difícil CATs,206
CXF01CUX02 P3 Estáticos,10649
CXF01CUX04 P1 CATs,3573
CXF01CUX02 P4 Estáticos,9121
CXF01CUX02 No sé Estáticos,1146
CXF01CUX00 Cierre Sin Sugerencia,26833
CXF01CUX04 Muy inconforme CATs,247
CXF01CUX03 P2 Pushes,78
CXF01CUX03 No Pushes,18
CXF01CUX03 No avisos Pushes,11
CXF01CUX01 Muy fácil Integraciones,9359
CXF01CUX01 Sí Integraciones,17380
CXF01CUX04 P3 CATs,1995
CXF01CUX02 P2 Estáticos,16071
CXF01CUX01 P1 Integraciones,123098
CXF01CUX04 Sí CATs,1682
CXF01CUX04 Muy fácil CATs,697
CXF01CUX03 No sé Pushes,5
CXF01CUX02 P1 Estáticos,219778
CXF01CUX01 Fácil Integraciones,3609
CXF01CUX00 Preapertura,342847
CXF01CUX02 Más o menos Estáticos,1803
CXF01CUX02 Conforme Estáticos,2032
CXF01CUX01 No Integraciones,8606
CXF01CUX01 Muy inconforme Integraciones,1799
CXF01CUX04 Inconforme CATs,103
CXF01CUX02 Muy fácil Estáticos,2752
CXF01CUX04 Muy difícil CATs,198
CXF01CUX03 Muy inconforme Pushes,2
CXF01CUX02 Difícil Estáticos,1251
CXF01CUX01 Conforme Integraciones,3473
CXF01CUX02 Muy conforme Estáticos,2812
CXF01CUX02 No Estáticos,8597
CXF01CUX03 Muy conforme Pushes,18
CXF01CUX04 Ni fácil ni difícil CATs,282
CXF01CUX00 Cierre Con sugerencia,17031
CXF01CUX01 Difícil Integraciones,1062
CXF01CUX02 Muy inconforme Estáticos,1979
CXF01CUX04 P2 CATs,2248
CXF01CUX01 Muy conforme Integraciones,8076
CXF01CUX02 Fácil Estáticos,1897
CXF01CUX01 Más o menos Integraciones,2116
CXF01CUX01 P2 Integraciones,25985
CXF01CUX01 Muy difícil Integraciones,2197
CXF01CUX02 Muy difícil Estáticos,2948
CXF01CUX01 No sé Integraciones ,1262
CXF01CUX04 P4 CATs,1852
CXF01CUX04 Conforme CATs,315
CXF01CUX03 P3 Pushes,35
CXF01CUX01 P3 Integraciones,18343
CXF01CUX01 Inconforme Integraciones,1245
CXF01CUX03 Sí Pushes,62
CXF01CUX02 Inconforme Estáticos,1153
CXF01CUX04 No CATs,566
CXF01CUX04 No sé CATs,106
CXF01CUX01 P4 Integraciones,15854
CXF01CUX03 Conforme Pushes,10
CXF01CUX04 Fácil CATs,469
CXF01CUX04 Muy conforme CATs,1224
CXF01CUX02 Sí Estáticos,7475
