Nombre de la intención,Nombre corto de la intención,ID de la intencion
ED00CUX01 Estudiantes,Estudiantes,RuleBuilder:PLBWX5XYGQ2B3GP7IN8Q-gglirxvsis@b.m-1653663205431
TUR00CUX02 Turnos para salud,Turnos para salud,RuleBuilder:PLBWX5XYGQ2B3GP7IN8Q-3fr1tizyrq@b.m-1674735659257
Estado subte,Estado del subte,RuleBuilder:PLBWX5XYGQ2B3GP7IN8Q-rodolfo@botmaker.io-1568209984126
BOT06CUX01 Random Adivinanza,Adivinanzas,RuleBuilder:PLBWX5XYGQ2B3GP7IN8Q-nps8m1mr9k@b.m-1662491348108
CIU05CUX03 Villa del Parque,Villa del Parque,RuleBuilder:PLBWX5XYGQ2B3GP7IN8Q-b9e42805469af0f@bm.com-1638545810030
MO03CUX01 Otros abonos y pases,Abonos del subte,RuleBuilder:PLBWX5XYGQ2B3GP7IN8Q-9gkzv6ifdl@b.m-1689859623884
TU03CUX01 Huracán,Estadio de Huracán,RuleBuilder:PLBWX5XYGQ2B3GP7IN8Q-4a64ac4e4bb9b60@bm.com-1645807786499
GA01CUX01 Apertura,Patios y mercados,RuleBuilder:PLBWX5XYGQ2B3GP7IN8Q-guadalupe@botmaker.io-1560881933094
SE00CUX01 Apertura,Seguridad,RuleBuilder:PLBWX5XYGQ2B3GP7IN8Q-ferjuan@botmaker.io-1545248687998
Constancia último domicilio,Constancia domicilio,RuleBuilder:PLBWX5XYGQ2B3GP7IN8Q-ferjuan@botmaker.io-1548700042711
CIU05CUX07 Apertura QR,Barrio Mugica,RuleBuilder:PLBWX5XYGQ2B3GP7IN8Q-4avj4zapv7@b.m-1695821119681
SUA01CUX12 Apertura,Reportar marquesina,RuleBuilder:PLBWX5XYGQ2B3GP7IN8Q-lp3ed18qgq@b.m-1650459582718
"TR03CUX09 Renovación, actualización al registro de evaluación ambiental profesional",Evaluación ambiental,RuleBuilder:PLBWX5XYGQ2B3GP7IN8Q-guadalupe@botmaker.io-1566826837650
TR04CUX32  Primer pasaporte,Primer pasaporte,RuleBuilder:PLBWX5XYGQ2B3GP7IN8Q-i8wk4a6knx@b.m-1681739329938
TR03CUX08 Transmisión de Autorización de Actividad Económica,AGC: autorizaciones,RuleBuilder:PLBWX5XYGQ2B3GP7IN8Q-guadalupe@botmaker.io-1573675195494
DH09CUX01 Apertura,Desarrollo infantil,RuleBuilder:PLBWX5XYGQ2B3GP7IN8Q-guadalupe@botmaker.io-1557941692772
¿Cómo saco un turno para el trámite MAP Profesionales - Chequeo de Inicios (APRA)?,MAP Profesionales,RuleBuilder:PLBWX5XYGQ2B3GP7IN8Q-fernando@botmaker.com-1536001582374-3150
EM01CUX02 Apertura,Violencia laboral,RuleBuilder:PLBWX5XYGQ2B3GP7IN8Q-ced0x46wme@b.m-1692730330885
TR03CUX08 Registro Nacional de Productos Alimenticios (RNPA) / Registro Nacional de Establecimientos (RNE),AGC: RNPA y RNE,RuleBuilder:PLBWX5XYGQ2B3GP7IN8Q-guadalupe@botmaker.io-1573674734348
