message_ok,count
infracciones,69831
estacionar,59313
turno,50912
multas,47103
telepase,34040
estacionamiento,32008
turnos,31311
blanqueo cuenta miba,28434
consultar multas hacer descargo videollamada,26377
chatear,25914
ensayo filarmonica,21183
renovar licencia,20749
salud,18352
sacar turno,17431
cancelar,16815
vacuna antigripal,15840
cancelar turno salud,15086
ciudadania portena,14679
vacunas,13576
turno medico,13557
vacuna,13478
validar identidad,12995
licencia conducir,12647
licencia,12274
hacerte consulta,10431
vacunacion,10194
contactarme equipo termina secundaria,10061
multa,9713
licencias,8962
inscripcion escolar,8674
ayudas tramitar certificado,8589
infraccion,8231
rendir recibo,7891
hablar alguien,7496
auto mal estacionado,7144
actualizar datos cuil,7108
cedetac,7052
chau,6977
confirmar turno,6818
boleto estudiantil,6643
revisar multas,6421
menu,6383
dni,6223
escombros,5879
denuncia vial,5729
sirve linea 108,5595
cancelar turno,5577
antigripal,5577
otorgamiento,5561
turno salud,5372
vtv,5265
pagar multa,5129
retiro escombros,5122
certificado domicilio,5026
infracciones transito,5016
abl,4977
sacar entrada ver ensayos orquesta filarmonica,4857
partida nacimiento,4796
vacuna gripe,4660
renovacion licencia,4651
patente,4600
oftalmologia,4574
agip,4535
renovacion licencia conducir,4502
ayuda,4393
infracciones whatsapp,4317
turno vacuna antigripal,4204
pagar,4110
resonancia,3832
consultar detalles inspeccion local,3793
tramite,3746
consulta infracciones,3729
renovar licencia conducir,3577
audiencia,3554
inscripcion,3478
mamografia,3468
consultar solicitud,3419
blanqueo cuenta,3415
listo,3387
suscribirme novedades ciudad,3381
denuncia,3342
vacunacion antigripal,3300
turno hospital,3276
turnos salud,3273
habla agip,3261
vehiculo mal estacionado,3207
miba,3159
gripe,3120
becas,3100
patentes,3063
hospital,3050
audiencia virtual,2997
chatear alguien,2939
salir,2912
pagar multas,2912
hablar operador,2904
turnos medicos,2884
registro,2884
odontologia,2877
covid,2800
habitacional,2640
teatro colon,2585
partida nacimiento online,2575
hablar persona,2541
consulta,2539
libre deuda,2496
vacuna covid,2496
filarmonica,2430
hol,2406
consultar,2338
turno vacuna,2334
noches,2329
confirmo turno,2307
multas transito,2304
dermatologia,2270
mal estacionado,2222
paso,2175
controlador,2127
clinica medica,2092
sube,2045
pagar infracciones,2042
tomografia,2041
cambiar turno,2030
renovacion,2019
dale,2012
beca alimentaria,2010
olvide contrasena,1991
traumatologia,1991
cesac,1981
reclamo,1955
cuenta,1939
mas,1926
entrar,1896
pagar infraccion,1895
renovar registro,1869
turno vacunacion,1857
tramites,1856
castracion,1822
auto,1806
basura,1756
vehiculo,1756
recuperacion cuenta,1711
subsidio habitacional,1690
pago voluntario,1664
turno controlador,1658
cursos,1655
educacion,1654
fin,1653
consultar multas,1646
hablar representante,1635
dengue,1632
cardiologia,1628
poda,1625
crear cuenta,1623
verificacion policial,1611
orquesta filarmonica,1588
recuperar contrasena,1585
adultos 2000,1581
renovacion registro,1568
registro conducir,1567
tad,1554
pedir turno,1540
baja,1524
bueno,1513
holaa,1468
puede estacionar,1460
acabo participar capacitacion agentes calle,1441
sacar licencia,1433
hospitales,1425
operador,1411
contrasena,1410
beca,1397
comprobante plan pago vencido,1388
vacunatorios,1383
turismo ciudad,1344
info licencias conducir,1334
adios,1334
ingresar,1331
recorrer bam,1323
sacar turno hacerme estudio,1316
gastroenterologia,1308
hablar humano,1304
recoleccion programada,1302
renovar dni,1302
hablar asesor,1294
hols,1284
bien,1279
infraccion transito,1258
descargo,1256
cambie domicilio dni renovar licencia,1254
turno vacuna gripe,1254
cud,1253
estaciono,1231
turno presencial,1229
neurologia,1216
confirmo,1196
sube estudiantil,1195
consultar ciudadania portena,1194
terminar secundario,1191
confirmar,1186
auto abandonado,1170
imprimir boleta,1169
turno virtual,1156
cambio domicilio,1143
nivel,1141
otorgamiento licencia,1138
asesor,1135
ginecologia,1133
turno dni,1127
vacuna dengue,1125
ruidos molestos,1119
sacar turno medico,1112
chatear operador,1105
mal estacionamiento,1089
turno infracciones,1079
turno vtv,1070
solicitar turno,1068
consultar turno,1041
ingresos brutos,1040
turno vacunas,1010
endocrinologia,1005
holaaa,1005
beca ciudad,994
escombro,987
imprimir boletas,981
ver,978
blanquear cuenta,977
defensa consumidor,974
voluminosos,971
pasaporte,965
consultar turnos,959
recoleccion escombros,958
plan pago vencido,948
controlador faltas,945
infraciones,941
vacunatorio,941
turno boleto estudiantil,940
residuos,939
becas ciudad,937
buepp,912
favor,912
renovar,911
hice,902
boty,891
perfil,890
boleto universitario,888
inscripcion escuelas,884
ausa,882
ahora,873
consultar infracciones,870
turnos hospital,863
vacunarme,861
deuda,856
colon,855
puntos,854
trabajo,846
turno odontologia,844
consultar vacante escolar,841
deuda patente,841
acepto,838
terminar secundaria,837
hablar controlador,832
vereda,832
recuperar cuenta,831
renovacion registro conducir,831
entrar miba,816
moratoria,809
cuenta miba,802
reportar vehiculo,797
solicitud,795
denunciar auto mal estacionado,794
hacer descargo,787
cesacs,787
bui,779
turno oftalmologia,778
ensayos filarmonica,777
pague,774
pago,769
vacunacion gripe,765
cambiar contrasena,763
finalizar,763
deportes,761
retiro poda,758
presencial,757
scoring,753
inscripcion escuela,751
renovacion dni,751
comuna,751
espero,750
becas alimentarias,748
transito,741
fiebre amarilla,739
casamiento,737
sacar turno hospital,729
turno licencia conducir,728
contenedor,724
blanqueo,724
humano,721
multas caba,716
pista manejo,715
desuscribirme,714
otorgamiento licencia conducir,712
rendir recibo habitacional,709
boleta abl,709
okey,708
pediatria,707
resonancia magnetica,704
hoka,703
consulta multas,702
retiro escombro,700
tele pase,700
resolver controlador,698
hacer reclamo,697
recoleccion,692
clave,691
hablar agente,682
mensaje momento podemos responder haremos posible,681
ver multas,677
vacante,676
laboratorio,675
turno vacunacion antigripal,673
tal,671
entrar cuenta,670
sacar licencia conducir,668
acarreo,668
subte,668
turnos hospitales,663
reprogramar turno,660
turno licencia,658
vacunar,658
147,655
partida matrimonio,653
ola,652
turno antigripal,648
discapacidad,648
igualmente,648
ecografia,645
natacion,643
confirmar turnos,642
multa transito,642
residuos voluminosos,637
permitido estacionar,635
inscripcion linea,635
turno cesac,630
preinscripcion,626
turno ginecologia,618
partidas,617
denunciar,614
direccion,614
online,613
vacuna fiebre amarilla,612
hago,609
partidas nacimiento,606
inscripciones,606
retirar escombros,603
cenat,600
poda arboles,595
informacion,593
partida,592
subsidio habitacional 690,583
ingresar miba,579
confirmado,579
hospitales publicos,579
