message_ok;count
infracciones;60582
estacionar;53823
turno;44546
multas;38094
estacionamiento;31722
consultar multas hacer descargo videollamada;28900
turnos;28344
telepase;28106
solicitar turno;25954
renovar licencia;23460
blanqueo cuenta miba;20986
chatear;20232
iniciar tramite;18891
salud;16482
turno medico;15895
cedetac;15813
sacar turno;14021
cancelar;13939
ciudadania portena;12664
cancelar turno salud;12152
licencias;10921
dni;9702
licencia conducir;9323
multa;9269
licencia;9253
hacer reclamo;8211
auto mal estacionado;7988
validar identidad;7718
ensayo filarmonica;7365
rendir recibo;7345
infraccion;7258
escombros;6977
consultar infracciones transito;6896
hablar alguien;6784
retiro escombros;6737
dudas licencia;6665
denuncia vial;6435
confirmar turno;6334
revisar multas;6088
vtv;5682
cancelar turno;5108
turno salud;4947
chau;4913
mas subtes;4858
ayudas tramitar certificado;4795
menu;4788
otorgamiento;4755
certificado domicilio;4592
hacerte consulta;4580
renovacion licencia;4472
suscribirme novedades ciudad;4247
resonancia;4194
actualizar datos cuil;4143
oftalmologia;3729
vehiculo mal estacionado;3719
pagar multa;3705
sacar turno salud;3690
respuesta automatica horario atencion 1530 whatautoai;3689
contactarme equipo termina secundaria;3665
hablar operador;3647
partida nacimiento;3552
consultar detalles inspeccion local;3521
patente;3475
ayuda;3420
audiencia virtual;3368
auto;3357
pagar;3308
chatear alguien;3298
infracciones transito;3283
renovacion licencia conducir;3136
odontologia;3136
turnos medicos;3022
turnos salud;2997
abl;2969
renovar dni;2967
hospital;2919
habitacional;2897
denuncia;2794
infracciones whatsapp;2789
mamografia;2762
agip;2756
hablar persona;2719
tramite;2715
renovar licencia conducir;2676
inscripcion escolar;2538
turno hospital;2376
boleto estudiantil;2341
habla agip;2282
pagar multas;2254
listo;2250
consulta;2240
turno controlador;2216
castracion;2214
libre deuda;2179
controlador;2152
patentes;2150
cambiar turno;2137
registro;2126
consultar;2110
consulta infracciones;2087
mal estacionado;2038
salir;2007
voluminosos;1998
sacar entrada ver ensayos orquesta filarmonica;1991
subsidio habitacional;1987
recoleccion programada;1980
noches;1941
reclamo;1888
verificacion policial;1879
renovacion;1853
cud;1830
tomografia;1819
operador;1809
sube;1789
cursos;1787
paso;1735
hol;1728
consultar solicitud;1721
vacunas;1709
