message_ok;count
consultar infracciones transito;96886
infracciones;62486
estacionar;52290
multas;46424
turno;41944
telepase;33123
estacionamiento;30313
turnos;26146
renovar licencia;23425
blanqueo cuenta miba;23037
ensayo filarmonica;18198
chatear;17248
consultar multas hacer descargo videollamada;17118
ciudadania portena;15618
cancelar;15100
turno medico;15020
salud;14093
sacar turno;13605
cancelar turno salud;12682
cedetac;11914
licencia;11201
multa;10202
validar identidad;9643
revisar multas;9491
licencia conducir;9487
licencias;9050
dni;8840
auto mal estacionado;8052
infraccion;7584
rendir recibo;7406
hacerte consulta;6957
hablar alguien;6938
escombros;6718
pagar multa;6347
denuncia vial;6282
confirmar turno;6142
retiro escombros;5933
contactarme equipo termina secundaria;5764
vtv;5371
chau;5358
pagar;5222
ayudas tramitar certificado;4981
actualizar datos cuil;4856
menu;4851
otorgamiento;4804
cancelar turno;4749
infracciones transito;4742
infracciones whatsapp;4715
renovacion licencia;4598
certificado domicilio;4064
turno salud;3998
partida nacimiento;3865
abl;3819
patente;3813
suscribirme novedades ciudad;3810
boleto estudiantil;3772
ayuda;3755
consultar detalles inspeccion local;3733
respuesta automatica horario atencion 1530 whatautoai;3689
resonancia;3675
oftalmologia;3584
pagar multas;3534
renovacion licencia conducir;3469
vehiculo mal estacionado;3375
hablar operador;3258
tramite;3147
auto;3105
agip;3095
denuncia;3087
vacunas;3074
consulta infracciones;3025
audiencia virtual;2984
vacuna;2980
chatear alguien;2973
renovar licencia conducir;2955
inscripcion escolar;2931
habitacional;2888
filarmonica;2789
turnos medicos;2684
registro;2609
hablar persona;2596
listo;2566
libre deuda;2564
odontologia;2559
hospital;2509
patentes;2505
consultar solicitud;2494
habla agip;2492
turnos salud;2443
sacar entrada ver ensayos orquesta filarmonica;2411
mamografia;2354
pago voluntario;2350
dudas licencia;2347
sirve linea 108;2326
consulta;2276
mal estacionado;2244
consultar;2214
turno hospital;2196
sube;2190
pagar infracciones;2174
noches;2145
pagar infraccion;2111
salir;2059
controlador;2029
vacunacion;2013
renovacion;2004
miba;1997
cambiar turno;1971
subsidio habitacional;1965
turno controlador;1958
vacuna antigripal;1945
multas transito;1912
hol;1896
castracion;1869
voluminosos;1841
blanqueo cuenta;1820
renovar registro;1808
consultar ciudadania portena;1804
tomografia;1803
paso;1798
teatro colon;1795
verificacion policial;1750
partida nacimiento online;1739
reclamo;1735
renovar dni;1732
audiencia;1708
dermatologia;1656
cud;1656
traumatologia;1619
vehiculo;1603
recorrer bam;1583
recoleccion programada;1579
renovacion registro;1578
confirmo turno;1569
auto abandonado;1550
confirmar;1504
clinica medica;1501
poda;1498
mas;1495
hablar representante;1492
adultos 2000;1492
cuenta;1452
cardiologia;1447
tramites;1439
operador;1411
cursos;1388
dale;1372
solicitar turno;1367
tad;1363
pasaporte;1354
puede estacionar;1350
consultar multas;1346
pedir turno;1336
hablar asesor;1327
basura;1308
info licencias conducir;1272
cesac;1255
turno dni;1236
confirmo;1233
sacar turno hacerme estudio;1226
registro conducir;1211
covid;1183
recoleccion escombros;1176
inscripcion;1172
bueno;1171
turno presencial;1168
escombro;1167
defensa consumidor;1165
estaciono;1155
asesor;1153
holaa;1148
consultar infracciones;1142
fin;1135
hospitales;1130
infraccion transito;1128
sacar licencia;1126
orquesta filarmonica;1121
descargo;1120
entrar;1105
hacer reclamo;1101
mal estacionamiento;1095
contenedor;1095
imprimir boleta;1093
neurologia;1086
ginecologia;1078
hablar humano;1078
cambio domicilio;1074
puntos;1061
scoring;1038
adios;1036
bien;1035
hols;1030
infraciones;1015
sube estudiantil;1015
iniciar tramite;1007
controlador faltas;995
crear cuenta;994
turismo ciudad;992
vacuna covid;987
cambie domicilio dni renovar licencia;983
ausa;963
consultar turno;956
pago;941
residuos;934
olvide contrasena;933
turno vtv;930
renovar;930
turno infracciones;928
hablar controlador;928
consultar turnos;921
otorgamiento licencia;917
sacar turno medico;892
chatear operador;890
recuperacion cuenta;881
antigripal;879
imprimir boletas;878
comprobante plan pago vencido;877
ruidos molestos;873
endocrinologia;872
ver;871
gastroenterologia;860
recoleccion;845
subte;839
ahora;839
online;835
presencial;827
discapacidad;824
retiro poda;820
ingresar;814
solicitud;812
retiro escombro;807
deuda;787
turno odontologia;778
resonancia magnetica;772
holaaa;771
vereda;768
educacion;767
hacer descargo;763
bui;762
deuda patente;758
igualmente;752
humano;747
acarreo;742
cesacs;741
acabo participar capacitacion agentes calle;737
trabajo;732
pase cultural;729
ver multas;725
contrasena;720
laboratorio;716
reprogramar turno;714
renovacion dni;713
residuos voluminosos;712
boty;710
resolver controlador;710
denunciar auto mal estacionado;702
tele pase;699
transito;699
ingresos brutos;699
okey;698
turno oftalmologia;690
hablar agente;689
vacuna gripe;687
rendir recibo habitacional;683
pague;680
ecografia;679
hice;678
pago voluntario infracciones;668
mensaje momento podemos responder haremos posible;665
permitido estacionar;665
pediatria;663
cenat;660
subsidio habitacional 690;658
voluminoso;655
turno virtual;651
confirmado;641
reportar vehiculo;638
becas;634
nivel;629
comuna;625
turnos hospital;624
retirar escombros;622
cuenta miba;622
recuperar contrasena;619
consulta multas;601
denunciar;599
linea 102;599
perfecto;589
cuidadania portena;584
turno boleto estudiantil;583
turno licencia conducir;583
finalizar;579
confirmar turnos;575
plan pago vencido;575
videollamada;573
salud mental;566
hablar;562
ensayos filarmonica;561
renovacion registro conducir;559
fiebre amarilla;559
espero;559
multa transito;554
hoka;551
turno ginecologia;547
ensayo;542
ver turnos;542
tal;540
turno licencia;538
higiene urbana;536
barrido;531
mascotas;531
turno comuna;529
blanquear cuenta;527
persona;526
pagar infracciones transito;524
turno vacuna;524
boleta abl;522
casamiento;520
terminar secundario;519
vehiculo abandonado;516
moto;507
multas caba;504
ola;504
hospitales publicos;502
pagar bui;499
reclamos;497
gripe;497
pagar infraccion transito;491
vacuna fiebre amarilla;490
manipulacion alimentos;489
partida;489
descargo multa;489
pago multa;488
147;485
turno resonancia;482
beca ciudad;481
consultar puntos;479
restos poda;478
colon;478
partida matrimonio;476
pagar multa transito;472
informacion;471
habitacional 690;469
partida defuncion;469
partidas;465
otorgamiento licencia conducir;463
audiencia online;463
controlador transito;463
grua;462
direccion;461
ciudadania;461
pago multas;461
denuncias;460
sacar partida nacimiento;460
matrimonio;457
medico;457
entrar miba;453
recuperar cuenta;452
bot club san albano favor ingresa opcion correcta;451
retiro programado;450
limpieza;450
dengue;449
grabado autopartes;449
constancia domicilio;445
partidas nacimiento;445
dentista;445
becas ciudad;443
cambiar tema;441
saludos;440
sirve;439
sacar turno hospital;438
ensayo filarmonico;437
turno controlador faltas;436
renovar registro conducir;435
retencion vehiculo;435
blanqueo;435
turnos hospitales;434
ivc;433
dar baja telepase;432
favor;431
estacionamiento medido;431
hla;429
retiro residuos;429
hacer vtv;429
revisar multa;429
pagar estacionamiento;429
oftalmologo;426
sacar turno controlador;423
pague cenat;422
terminar secundaria;420
108;420
consultar infracciones transitohola consultar infracciones transito;418
recoleccion residuos;417
deuda patentes;416
funciona;415
retiro muebles;415
vereda rota;415
peaje;413
error;413
turno pediatria;412
perdon;408
poda arboles;408
pago infracciones;407
sacar licencia conducir;405
movilidad portena;403
hago;402
libre deuda infracciones;400
curso;400
antecedentes penales;398
perfil;398
ingresar miba;397
deuda telepase;394
opcion;394
podes ayudar;392
castraciones;390
hospital fernandez;389
poda arbol;386
volver;386
medico cabecera;385
registro civil;384
hospital publico;384
clave;384
ampliacion licencia;383
renovar pasaporte;383
sacar turno salud;380
turno vacunacion;378
reportar error;377
tarjeta ciudadania portena;376
ampliacion;376
manana;374
resolver infracciones;373
turno cesac;372
entrar cuenta;370
consulta infracciones transito;369
turismo;369
eventos ciudad;368
desratizacion;367
clave ciudad;366
curso manipulacion alimentos;366
mas subtes;365
ecoparque;365
puntos licencia;362
domicilio;361
resonancias;361
cambiar contrasena;360
turno vacuna antigripal;360
urologia;360
telepeaje;359
holis;356
acta nacimiento;356
reubicar contenedor;355
infracciones caba;354
terminar;353
luminaria;353
desastre;353
hila;352
beca;349
agendar;347
holq;346
hoal;346
situacion calle;345
vacuna dengue;344
turno mamografia;344
pediatra;342
jola;341
atras;340
baja;339
charla renovacion;338
abonar;337
chatear controlador;335
empleo;334
hacer multa;333
sigo esperando;332
alergia;332
vacunatorios;331
pagar abl;330
sacar turno dni;329
contenedores;327
turno laboratorio;327
servis;327
sacar libre deuda;327
revisar infracciones;325
audiencia presencial;321
info ciudadania portena;320
validar;320
ver infracciones;319
saldo;319
acta matrimonio;319
solicitudes;317
entiendo;315
turno hospitales;315
funciona app;314
pagar online;313
provincia;313
tramites turnos;313
comprobante;313
hacer denuncia;311
buepp;310
hacer;307
inscripcion escuelas;303
argentina;303
consulta turno;303
turno renovacion licencia conducir;303
traumatologo;303
registrarme;302
renovacion cud;301
vacunatorio;301
pagarla;299
turno traumatologia;299
veredas;298
homa;297
representante;297
saco turno;296
charla virtual;295
denuncia mal estacionamiento;293
cambiar turno vtv;293
turno controlador transito;292
veterinaria;292
ciudad;291
vehiculo infraccion;291
certificado nacimiento;291
turno agip;291
termina secundaria;288
diabetologia;287
denuncia auto mal estacionado;287
sacar certificado domicilio;287
arreglo vereda;287
turno renovacion licencia;287
entradas;285
turno renovar licencia conducir;285
consultar vacante escolar;284
hospital rivadavia;284
descargo multas;284
cambiar mail;283
turno tomografia;283
vacunacion antigripal;282
sacar turno vtv;282
boleto educativo;282
estare;281
holi;281
nivel seguridad;281
numero;281
baja telepase;280
cambiar fecha;279
desuscribirme;278
tarde;277
boleto;277
titulo secundario;276
turno dermatologia;276
plan pago;275
asi;273
seguimos;272
clave miba;272
atencion;272
carnet conducir;272
boleto universitario;272
agente;271
pagar tarjeta;270
denunciar vehiculo mal estacionado;270
soporte;270
validacion identidad;269
turno resonancia magnetica;269
genial;269
nuevo turno;268
turno multas;268
renovar cud;268
numero partida;267
actualizar datos doc cabecera;266
ingresar cuenta;265
amable;265
whatsapp;264
hablar alguien equipo;264
sacar turnos;264
ginecologa;264
undefined;263
otorrino;263
deuda abl;263
hijo;262
turno cardiologia;262
lado derecho;261
consultar multa;260
ciudania portena;259
turnos medico;259
beca alimentaria;258
boleta;258
hematologia;258
descargo infraccion;257
turno vacunas;257
pagar multas transito;257
pagar patente;257
basura desparramada;255
certificado;254
hija;254
hospital argerich;254
turno renovar licencia;253
tramites distancia;252
medico clinico;252
caba;252
hacer consulta;252
turno ecografia;252
eventos;251
agc;251
castracion gatos;250
retiro;250
crear cuenta miba;249
resolver multas;249
hacer pago voluntario;246
muchisimas;246
telefono;246
asistire;245
ninguno;245
recoleccion poda;244
info colectivos ciudad;244
recuperar puntos;244
subcidio habitacional;243
certificado discapacidad;242
turno hoy;242
deja;242
solicitar partida nacimiento;242
validar identidad miba;241
buendia;241
ticket social;240
sigo;240
retiro residuos voluminosos;239
subir nivel;239
consulta infraccion;239
menu principal;239
ratas;239
psicologia;238
mail;238
cerrar;237
equivoque;236
sacar registro;235
app;234
dar baja;234
vehiculo retenido;234
recibo sueldo;234
turno registro;233
foto;233
turno neurologia;233
turno pediatra;232
multas auto;232
vehiculos;231
canselar;230
certificado legalidad;229
bot;229
hospital santa lucia;229
analisis sangre;228
abitacional;228
abonar multa;227
sacar;227
duplicado licencia;227
barrendero;227
aprende;226
escuela;226
hoa;225
blanqueo clave;225
iniciar sesion;225
santa lucia;225
baja patente;224
hacer descargo multa;224
nueva consulta;223
turno ciudadania portena;223
queria sacar turno;223
gracia;223
blanqueo clave miba;222
inscripcion escuela;221
ginecologo;221
pista manejo;221
turno hijo;220
descargo infracciones;220
entradas colon;220
inscripcion linea;219
arbol;218
primera vez;218
pago voluntario multas;218
turnos agendados;217
turno medico clinico;217
turno manana;217
especialidad medica;216
video llamada;216
jubilados;215
cardiologo;215
acta;215
perdi dni;214
consultar multas hacer descargo presencial;214
turno castracion;214
charla;213
turno verificacion policial;213
queja;213
licencia moto;212
sube cud;212
multas infracciones;211
pago infraccion;211
nathy nybshoes whatsapp solo compra calzado mayorista zapatos botas multas transito tramites publicos;211
retiro electrodomesticos;210
tema;210
licencias conducir;210
sube discapacidad;210
neurologo;210
reparacion vereda;209
gratis;209
turno videollamada;208
animales;208
barrio colon;208
curso vial;207
sacar turno licencia conducir;207
ayudas;207
pagar tarjeta credito;206
peajes;206
oftalmologica;205
consulta solicitud;205
multas patente;205
taxi;205
especialista;204
sii;204
puto;203
hoy;203
sacar turno boleto estudiantil;203
