message_ok;count
infracciones;64649
estacionar;60258
turno;44361
multas;40808
telepase;32706
estacionamiento;32311
turnos;27647
chatear;27375
blanqueo cuenta miba;25656
renovar licencia;21467
salud;16820
sacar turno;15713
consultar multas hacer descargo videollamada;15638
cancelar;15578
ciudadania portena;14031
turno medico;12737
licencia conducir;12586
licencia;12443
cancelar turno salud;11985
inscripcion escolar;10854
vacuna antigripal;10831
validar identidad;10250
ayudas tramitar certificado;9893
vacunas;9869
vacuna;9641
hacerte consulta;9609
licencias;9343
multa;8416
boleto estudiantil;7993
rendir recibo;7805
hablar alguien;7800
vacunacion;7531
infraccion;7333
dni;6898
contactarme equipo termina secundaria;6449
chau;6414
patente;6292
actualizar datos cuil;6046
menu;6023
escombros;5701
certificado domicilio;5573
auto mal estacionado;5461
revisar multas;5293
otorgamiento;5249
cedetac;5069
turno salud;5041
vtv;5014
becas;4945
denuncia vial;4889
cancelar turno;4808
audiencia;4735
renovacion licencia;4730
inscripcion;4685
retiro escombros;4674
renovacion licencia conducir;4520
partida nacimiento;4493
confirmar turno;4470
infracciones transito;4415
pagar multa;4200
ayuda;4179
agip;4057
patentes;4038
antigripal;3802
oftalmologia;3760
habla agip;3717
abl;3582
pagar;3543
resonancia;3536
renovar licencia conducir;3502
tramite;3458
infracciones whatsapp;3407
consultar detalles inspeccion local;3401
mamografia;3384
turno hospital;3363
suscribirme novedades ciudad;3265
consultar solicitud;3198
vacuna gripe;3188
turnos salud;3168
turno vacuna antigripal;2954
hospital;2936
consulta infracciones;2913
chatear alguien;2898
denuncia;2842
sirve linea 108;2769
hablar operador;2764
listo;2762
turnos medicos;2759
salir;2730
beca alimentaria;2722
cursos;2718
habitacional;2710
blanqueo cuenta;2694
hablar persona;2675
registro;2649
consultar vacante escolar;2639
pagar multas;2620
vacunacion antigripal;2558
vehiculo mal estacionado;2426
consulta;2354
educacion;2314
libre deuda;2305
odontologia;2305
controlador;2262
hacer reclamo cierre pista practica manejo;2253
hol;2208
consultar;2193
gripe;2141
vacante;2132
covid;2121
renovacion;2100
multas transito;2070
dengue;2011
miba;2010
baja;2004
dermatologia;2002
basura;1977
tomografia;1973
reclamo;1925
paso;1916
adultos 2000;1908
dale;1888
partida nacimiento online;1886
auto;1866
vacuna covid;1820
recuperacion cuenta;1818
clinica medica;1813
renovar registro;1812
mal estacionado;1809
noches;1798
traumatologia;1797
pagar infracciones;1782
beca;1773
mas;1770
sube;1769
cambiar turno;1763
tramites;1740
castracion;1693
cesac;1681
turno vacuna;1674
vehiculo;1634
subsidio habitacional;1634
hablar representante;1620
registro conducir;1598
renovacion registro;1559
tad;1554
fin;1552
info licencias conducir;1547
audiencia virtual;1526
pagar infraccion;1503
descargo;1491
cuenta;1474
entrar;1472
turno virtual;1456
operador;1456
verificacion policial;1449
cardiologia;1448
poda;1444
chatear operador;1414
pedir turno;1401
hospitales;1396
holaa;1395
sacar licencia;1389
renovar dni;1387
vacuna dengue;1383
turismo ciudad;1381
turno controlador;1377
turno vacunacion;1373
bueno;1370
puede estacionar;1369
comprobante plan pago vencido;1366
pago voluntario;1366
hablar asesor;1314
consultar multas;1297
recoleccion programada;1270
inscripcion escuelas;1230
adios;1225
hablar humano;1224
bien;1222
solicitud partida nacimiento;1219
turno dni;1207
estaciono;1206
cambie domicilio dni renovar licencia;1187
becas alimentarias;1151
confirmo turno;1141
cambio domicilio;1135
hols;1133
deportes;1129
crear cuenta;1125
dudes preguntar;1121
otorgamiento licencia;1107
sube estudiantil;1097
ruidos molestos;1095
gastroenterologia;1091
sacar turno medico;1088
turno vtv;1087
ingresar;1086
asesor;1074
ingresos brutos;1067
olvide contrasena;1066
infraccion transito;1055
recuperar contrasena;1053
fiebre amarilla;1052
cud;1051
recorrer bam;1048
buepp;1046
neurologia;1044
sacar turno hacerme estudio;1042
ginecologia;1031
turno presencial;1027
controlador faltas;1025
inscripcion escuela;1013
acepto;1013
consultar ciudadania portena;1011
voluminosos;1007
vacunatorios;997
renovar;986
infraciones;985
auto abandonado;983
pasaporte;981
inscripciones;977
solicitar turno;975
defensa consumidor;972
turno infracciones;971
imprimir boleta;971
recoleccion escombros;961
confirmar;955
plan pago vencido;953
preguntas productos mix frutos secos metodos pago envios estare encantado ayudarte;950
endocrinologia;942
beca ciudad;937
consultar turno;929
becas ciudad;926
trabajo;918
holaaa;917
residuos;914
hablar controlador;908
vacuna fiebre amarilla;904
agradezco mensaje enfoque ayudar consultas nutritivamentebien;884
pista manejo;883
turno vacuna gripe;882
escombro;877
mal estacionamiento;866
favor;865
vacantes;864
hice;863
turnos hospital;860
confirmo;859
boty;858
preinscripcion;852
turno boleto estudiantil;847
bui;846
hacer descargo;845
contrasena;819
ver;814
resolver controlador;812
imprimir boletas;808
inscripcion linea;805
deuda;795
consultar turnos;793
terminar secundario;789
acabo participar capacitacion agentes calle;789
finalizar;786
renovacion dni;785
vereda;784
renovacion registro conducir;778
deuda patente;774
ausa;771
moratoria;770
contenedor;767
pague;757
rendir recibo habitacional;755
sacar turno hospital;755
hacer reclamo;755
natacion;752
audiencia online;751
boleto universitario;747
ahora;747
espero;745
retiro poda;745
hablar agente;741
consultar infracciones;740
cesacs;739
turno odontologia;737
casamiento;730
turno licencia conducir;729
ingresar miba;725
reprogramar turno;720
comuna;720
pileta;711
recuperar cuenta;709
turnos hospitales;701
turno vacunas;695
recoleccion;689
resonancia magnetica;688
147;682
otorgamiento licencia conducir;678
pago;675
partidas nacimiento;669
entrar miba;664
descargo multa;662
vacunatorio;662
retiro escombro;658
presencial;649
solicitud;646
blanquear cuenta;646
mensaje momento podemos responder haremos posible;643
sacar licencia conducir;639
transito;639
acarreo;639
tal;638
charla renovacion;634
denunciar auto mal estacionado;630
nivel;629
hoka;628
pediatria;628
permitido estacionar;622
puntos;622
escuela;620
pagar bui;619
blanqueo;618
ecografia;617
scoring;617
informacion;616
matrimonio;616
multas caba;614
consulta multas;613
reportar vehiculo;611
tele pase;610
residuos voluminosos;607
laboratorio;602
terminar secundaria;601
boleto;600
desuscribirme;597
cenat;597
turno oftalmologia;595
subsidio habitacional 690;592
partidas;592
hospitales publicos;591
cuenta miba;590
turno licencia;587
hacer vtv;587
vacunarme;586
vencida;584
pista aprendizaje;579
vacante escuela;578
okey;577
humano;577
ola;576
registro civil;575
constancia domicilio;572
igualmente;572
partida matrimonio;571
funciona;569
inscripcion secundaria;569
moto;568
vacunacion gripe;563
turno ginecologia;558
denunciar;557
inscripcion primaria;557
discapacidad;554
turno cesac;554
confirmar turnos;553
hablar;552
partida defuncion;546
retirar escombros;545
persona;543
multa transito;541
hago;539
curso;539
online;538
direccion;535
mascotas;534
beca alimentar;531
partida;530
termina secundaria;528
higiene urbana;526
hospital fernandez;525
sirve;524
ver multas;524
turno vacunacion antigripal;523
pagar estacionamiento;519
sacar partida nacimiento;518
secundaria;517
pagar patente;513
sacar turno vtv;512
subte;510
peaje;509
reclamos;507
charla virtual;505
cambiar tema;504
talento tech;504
cuidadania portena;503
perfecto;497
linea 102;496
turno comuna;494
renovar registro conducir;492
108;492
hablar alguien equipo;491
comprobante;491
turno pediatria;489
error;486
salud mental;486
sacar turno salud;485
entrar cuenta;483
vacante escolar;483
limpieza;481
becas alimentaria;480
turno hospitales;470
ampliacion licencia;469
preinscripcion escolar;469
grabado autopartes;466
estacionamiento medido;465
confirmo turnos;465
acta matrimonio;465
poda arboles;464
denuncias;455
infracciones caba;454
reportar error;452
habitacional 690;452
ampliacion;452
ciudad bilingue;450
terminar;448
cambiar contrasena;446
vacunar;445
polideportivo;445
medico;443
sacar certificado domicilio;442
acta nacimiento;441
recoleccion residuos;439
holis;437
restos poda;435
deuda patentes;434
deporte;432
volver;430
turismo;430
declaracion jurada;429
libre deuda infracciones;427
hoal;427
inscripciones escolares;426
licencia vencida;426
hla;425
ivc;425
turno antigripal;424
resolver infracciones;422
empleo;422
turno renovacion licencia conducir;421
basura desparramada;421
domicilio;420
dentista;418
pague cenat;417
docente;416
inscripcion jardin;413
perfil;413
ver turnos;412
piletas;412
resonancias;411
podes ayudar;409
holq;409
retiro residuos;406
turno traumatologia;403
antecedentes penales;401
turno resonancia;399
deuda telepase;399
contenedores;395
turno mamografia;395
vehiculo abandonado;395
perdon;394
manipulacion alimentos;394
boleto estudiantil universitario;393
holi;393
hospital publico;393
manana;392
sacar turno vacuna antigripal;391
clave;390
desratizacion;386
ciudadania;381
zona tarifada;380
renovar pasaporte;380
descargo multas;379
vereda rota;378
funciona pagina;377
desastre;377
retiro programado;374
turno vacuna covid;374
poda arbol;373
agendar;372
hila;372
pagar infraccion transito;369
saludos;369
grua;369
huella digital;368
alergia;368
entiendo;363
boleto educativo;363
carnaval;363
sigo esperando;363
traumatologo;363
jola;363
turno controlador faltas;362
pago patente;361
boleta abl;360
boleto educativo educacion superior;360
confirmado;359
menu principal;358
tramites turnos;357
secundario;357
descargo infracciones;356
veredas;356
saco turno;355
declaracion jurada docente;354
turno renovar licencia conducir;353
colectivo;353
ecoparque;352
atras;352
oftalmologo;351
hematologia;351
hacer denuncia;351
pago infracciones;351
curso manipulacion alimentos;350
telepeaje;350
pago multas;348
charla renovacion licencia;346
opcion;343
castraciones;343
sacar turnos;340
descargo infraccion;339
suscripciones;336
controlador transito;336
retiro muebles;335
duplicado licencia;333
mas salud;332
incripcion escolar;332
tarde;331
agente;331
iniciar tramite;329
pagar abl;328
talleres;327
turno dermatologia;326
solicitar partida nacimiento;325
validar;325
caba;324
info colectivos ciudad;323
turno agip;322
servis;321
hospital rivadavia;321
diabetologia;320
urologia;320
voluminoso;318
blanqueo clave miba;318
puto;317
polideportivos;317
chatear controlador;317
turno multas;316
cuenta bue;314
consulta infracciones transito;313
correcto;312
argentina;312
turno vacunarme;311
pago multa;311
idiomas;311
pagar multa transito;309
pediatra;309
certificado domicilio real;308
hospital santa lucia;307
situacion calle;306
turnos vacunacion;306
clave ciudad;303
vacunacion covid;303
cursos gratuitos;303
hacer;301
certificado nacimiento;301
denuncia mal estacionamiento;300
hospital argerich;299
suscribirme;299
cuil;298
turno cardiologia;298
pagar buepp;297
curso educacion vial;297
luminaria;296
ingresar cuenta;295
cerrar;295
veterinaria;292
numero partida;291
representante;291
adultos2000;291
telefono;290
consulta turno;289
anos;288
clave miba;288
sacar registro;287
deja;287
boleta;285
hijo;285
ratas;284
charla renovacion licencia conducir;284
inscribirme;284
whatsapp;284
fecha;283
turno ecografia;283
pagar tarjeta;282
asistire;282
solicitudes;282
pagar infracciones transito;281
equivoque;279
turno renovacion licencia;279
pagar online;279
link;278
renove;278
medico cabecera;277
resto;276
homa;275
revisar multa;274
carnet conducir;274
vacunarme gripe;274
turno hospital santa lucia;274
turno registro;273
certificado domiciliario;272
certificado;272
multas auto;270
buendia;270
sacar;270
sacar turno dni;269
turnos vacunas;269
turno pista manejo;269
baja patente;267
turno laboratorio;266
charla;265
turno castracion;265
plan pago;265
registro digital asistencia;264
asignacion vacantes;264
tema;264
cambiar mail;263
santa lucia;263
apto fisico;263
registrarme;263
sacar turno licencia conducir;263
holaaaa;263
queria sacar turno;262
deja entrar;262
ninguno;262
ampliacion licencia conducir;262
beca estudiantil;262
validacion identidad;262
hoy;261
recoleccion poda;261
turno tomografia;261
conducir;261
ayudas;260
certificado defuncion;260
provincia;259
turno renovar licencia;257
crear cuenta miba;257
turno vacuna dengue;256
licencia moto;256
controlador infracciones;256
hospital pirovano;256
nuevo turno;256
turno ciudadania portena;256
denuncia auto mal estacionado;255
blanqueo clave;255
otorrino;255
app;253
seguimos;253
sii;253
denunciar vehiculo mal estacionado;251
ingles;250
reclamo multa;249
parque sarmiento;249
sacar turno boleto estudiantil;248
medico clinico;247
dar baja telepase;246
info;246
pago bui;246
turno hospital fernandez;245
consultar puntos;245
tramites distancia;245
hoa;245
licencias conducir;244
oficios artes;244
vacuna antigripal turno;244
videollamada;244
agc;243
declaracion jurada linea;243
ciudad;242
inscribo;242
lado derecho;242
turno hijo;241
turno pediatra;241
cambiar fecha;241
ginecologa;241
turno medico clinico;240
patente automotor;240
